Date,Product Name,Quantity
2021-04-09,Bdelo Maize Tortilla Chips - Salted - 250g,1
2021-04-12,Bdelo Maize Tortilla Chips - Salted - 250g,1
2021-04-13,Bdelo Maize Tortilla Chips - Salted - 250g,1
2021-04-14,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-04-21,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-04-22,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-04-23,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-04-30,Bdelo Maize Tortilla Chips - Salted - 40g,7
2021-05-03,Bdelo Maize Tortilla Chips - Salted - 40g,3
2021-05-08,Bdelo Maize Tortilla Chips - Salted - 40g,3
2021-05-11,Bdelo Maize Tortilla Chips - Salted - 40g,5
2021-05-14,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-05-20,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-05-25,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-05-31,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-06-03,Bdelo Maize Tortilla Chips - Salted - 40g,3
2021-06-04,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-06-16,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-07-08,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-07-14,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-07-16,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-07-17,Bdelo Maize Tortilla Chips - Salted - 40g,4
2021-08-04,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-08-05,Bdelo Maize Tortilla Chips - Salted - 40g,3
2021-09-09,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-09-10,Bdelo Maize Tortilla Chips - Salted - 40g,4
2021-09-16,Bdelo Maize Tortilla Chips - Salted - 40g,4
2021-09-24,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-10-01,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-10-08,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-10-13,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-10-27,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-10-31,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-11-05,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-11-12,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-11-16,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-11-17,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-11-24,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-11-29,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-11-30,Bdelo Maize Tortilla Chips - Salted - 40g,5
2021-12-06,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-12-09,Bdelo Maize Tortilla Chips - Salted - 40g,1
2021-12-14,Bdelo Maize Tortilla Chips - Salted - 40g,5
2021-12-16,Bdelo Maize Tortilla Chips - Salted - 40g,3
2021-12-17,Bdelo Maize Tortilla Chips - Salted - 40g,6
2021-12-20,Bdelo Maize Tortilla Chips - Salted - 40g,2
2021-12-24,Bdelo Maize Tortilla Chips - Salted - 40g,4
2021-12-30,Bdelo Maize Tortilla Chips - Salted - 40g,1
2022-01-03,Bdelo Maize Tortilla Chips - Salted - 40g,6
2022-01-11,Bdelo Maize Tortilla Chips - Salted - 40g,6
2022-01-13,Bdelo Maize Tortilla Chips - Salted - 40g,2
2022-01-14,Bdelo Maize Tortilla Chips - Salted - 40g,9
2022-01-16,Bdelo Maize Tortilla Chips - Salted - 40g,6
2022-02-03,Bdelo Maize Tortilla Chips - Salted - 40g,2
2022-03-02,Bdelo Maize Tortilla Chips - Salted - 40g,3
