Date,Product Name,Quantity
2020-10-05,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-08,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),2
2020-10-10,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-12,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-13,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-15,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),2
2020-10-16,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-17,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-22,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-23,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),2
2020-10-26,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-28,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2020-10-30,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2020-11-04,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),2
2020-11-05,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2020-11-16,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),6
2020-11-20,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),6
2020-11-24,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2020-11-26,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),2
2020-12-01,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),2
2020-12-09,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2020-12-14,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),7
2020-12-20,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2020-12-28,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2021-01-06,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),1
2021-01-14,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2021-01-15,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),3
2021-01-21,Kenyan Grown Italian Cured Garlic,3
2021-01-21,Kenyan Grown Italian Cured Garlic - 9 pieces (approx 360g),2
2021-01-28,Kenyan Grown Italian Cured Garlic,4
