Date,Product Name,Quantity
2024-02-02,Cederberg Sauvignon Blanc 2022,1
2024-02-03,Cederberg Sauvignon Blanc 2022,1
2024-02-13,Cederberg Sauvignon Blanc 2022,1
2024-02-26,Cederberg Sauvignon Blanc 2022,2
2024-02-28,Cederberg Sauvignon Blanc 2022,1
2024-03-02,Cederberg Sauvignon Blanc 2022,1
2024-03-22,Cederberg Sauvignon Blanc 2022,2
2024-03-29,Cederberg Sauvignon Blanc 2022,2
2024-04-04,Cederberg Sauvignon Blanc 2022,1
2024-04-10,Cederberg Sauvignon Blanc 2022,1
2024-05-09,Cederberg Sauvignon Blanc 2022,1
2024-05-27,Cederberg Sauvignon Blanc 2022,3
2024-06-17,Cederberg Sauvignon Blanc 2022,1
