Date,Product Name,Quantity
2023-01-08,Delaire Graff Coastal Cuvée Sauvignon Blanc,1
2023-01-19,Delaire Graff Coastal Cuvée Sauvignon Blanc,1
2023-02-09,Delaire Graff Coastal Cuvée Sauvignon Blanc,1
2023-03-16,Delaire Graff Coastal Cuvée Sauvignon Blanc 2021,1
2023-03-31,Delaire Graff Coastal Cuvée Sauvignon Blanc 2021,1
2023-05-10,Delaire Graff Coastal Cuvée Sauvignon Blanc 2021,3
2023-05-24,Delaire Graff Coastal Cuvée Sauvignon Blanc 2021,1
2023-08-02,Delaire Graff Coastal Cuvée Sauvignon Blanc 2021,12
2023-08-24,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
2023-09-02,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",2
2023-09-09,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
2023-10-10,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
2023-10-13,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
2023-11-20,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
2023-12-08,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
2023-12-21,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
2024-02-02,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",2
2024-02-17,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",2
2024-04-17,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",2
2024-06-14,"Delaire Graff Coastal Cuvée Sauvignon Blanc, 2021",1
