Date,Product Name,Quantity
2022-08-25,Achva Seasoned Tahini - 500g,1
2022-10-14,Achva Seasoned Tahini - 500g,1
2022-11-03,Achva Seasoned Tahini - 500g,1
2022-11-05,Achva Seasoned Tahini - 500g,1
2022-12-05,Achva Seasoned Tahini - 500g,1
2022-12-08,Achva Seasoned Tahini - 500g,1
2023-01-09,Achva Seasoned Tahini - 500g,1
2023-04-07,Achva Seasoned Tahini - 500g,1
2023-05-05,Achva Seasoned Tahini - 500g,1
2023-05-07,Achva Seasoned Tahini - 500g,1
2023-05-11,Achva Seasoned Tahini - 500g,2
2023-05-22,Achva Seasoned Tahini - 500g,2
2023-05-23,Achva Seasoned Tahini - 500g,1
2023-05-30,Achva Seasoned Tahini - 500g,1
2023-06-02,Achva Seasoned Tahini - 500g,1
2023-06-05,Achva Seasoned Tahini - 500g,2
2023-06-07,Achva Seasoned Tahini - 500g,2
2023-06-23,Achva Seasoned Tahini - 500g,1
2023-07-15,Achva Seasoned Tahini - 500g,1
2023-09-19,Achva Seasoned Tahini - 500g,1
2023-11-10,Achva Seasoned Tahini - 500g,1
2023-11-29,Achva Seasoned Tahini - 500g,1
