Date,Product Name,Quantity
2021-09-30,Bio Longlife Skimmed Milk - 1L,7
2021-10-01,Bio Longlife Skimmed Milk - 1L,1
2021-10-08,Bio Longlife Skimmed Milk - 1L,2
2021-10-09,Bio Longlife Skimmed Milk - 1L,2
2021-10-15,Bio Longlife Skimmed Milk - 1L,3
2021-10-21,Bio Longlife Skimmed Milk - 1L,4
2021-10-28,Bio Longlife Skimmed Milk - 1L,1
2021-10-29,Bio Longlife Skimmed Milk - 1L,8
2021-11-02,Bio Longlife Skimmed Milk - 1L,3
2021-11-03,Bio Longlife Skimmed Milk - 1L,2
2021-11-15,Bio Longlife Skimmed Milk - 1L,1
2021-11-20,Bio Longlife Skimmed Milk - 1L,2
2022-01-26,Bio Longlife Skimmed Milk - 1L,10
2022-01-27,Bio Longlife Skimmed Milk - 1L,20
2022-01-28,Bio Longlife Skimmed Milk - 1L,12
2022-01-31,Bio Longlife Skimmed Milk - 1L,6
2022-02-03,Bio Longlife Skimmed Milk - 1L,2
2022-02-04,Bio Longlife Skimmed Milk - 1L,6
2022-02-07,Bio Longlife Skimmed Milk - 1L,4
2022-02-08,Bio Longlife Skimmed Milk - 1L,6
2022-02-23,Bio Longlife Skimmed Milk - 1L,10
2022-02-24,Bio Longlife Skimmed Milk - 1L,6
2022-02-27,Bio Longlife Skimmed Milk - 1L,2
2022-02-28,Bio Longlife Skimmed Milk - 1L,6
2022-03-02,Bio Longlife Skimmed Milk - 1L,1
2022-03-04,Bio Longlife Skimmed Milk - 1L,1
2022-03-11,Bio Longlife Skimmed Milk - 1L,1
2022-07-27,Bio Longlife Skimmed Milk - 1L,2
2022-07-29,Bio Longlife Skimmed Milk - 1L,3
2022-07-30,Bio Longlife Skimmed Milk - 1L,1
2022-08-01,Bio Longlife Skimmed Milk - 1L,5
2022-08-02,Bio Longlife Skimmed Milk - 1L,1
2022-08-04,Bio Longlife Skimmed Milk - 1L,5
2022-08-06,Bio Longlife Skimmed Milk - 1L,1
2022-08-07,Bio Longlife Skimmed Milk - 1L,6
2022-08-08,Bio Longlife Skimmed Milk - 1L,1
2022-08-09,Bio Longlife Skimmed Milk - 1L,1
2022-08-13,Bio Longlife Skimmed Milk - 1L,1
2022-08-14,Bio Longlife Skimmed Milk - 1L,3
2022-08-16,Bio Longlife Skimmed Milk - 1L,7
2022-08-17,Bio Longlife Skimmed Milk - 1L,5
2022-08-18,Bio Longlife Skimmed Milk - 1L,1
2022-08-20,Bio Longlife Skimmed Milk - 1L,1
2022-08-23,Bio Longlife Skimmed Milk - 1L,2
2022-08-24,Bio Longlife Skimmed Milk - 1L,5
2022-08-26,Bio Longlife Skimmed Milk - 1L,2
2022-08-29,Bio Longlife Skimmed Milk - 1L,1
2022-08-30,Bio Longlife Skimmed Milk - 1L,3
2022-08-31,Bio Longlife Skimmed Milk - 1L,2
2022-09-01,Bio Longlife Skimmed Milk - 1L,1
2022-09-02,Bio Longlife Skimmed Milk - 1L,2
2022-09-05,Bio Longlife Skimmed Milk - 1L,5
2022-09-06,Bio Longlife Skimmed Milk - 1L,5
2022-09-13,Bio Longlife Skimmed Milk - 1L,1
2022-09-23,Bio Longlife Skimmed Milk - 1L,3
2022-09-26,Bio Longlife Skimmed Milk - 1L,3
2022-09-27,Bio Longlife Skimmed Milk - 1L,1
2022-09-30,Bio Longlife Skimmed Milk - 1L,9
2022-10-01,Bio Longlife Skimmed Milk - 1L,7
2022-10-03,Bio Longlife Skimmed Milk - 1L,7
2022-10-04,Bio Longlife Skimmed Milk - 1L,1
2022-10-05,Bio Longlife Skimmed Milk - 1L,1
2022-10-07,Bio Longlife Skimmed Milk - 1L,2
2022-10-08,Bio Longlife Skimmed Milk - 1L,3
2022-10-10,Bio Longlife Skimmed Milk - 1L,12
2022-10-12,Bio Longlife Skimmed Milk - 1L,1
2022-10-13,Bio Longlife Skimmed Milk - 1L,2
2022-10-14,Bio Longlife Skimmed Milk - 1L,11
