Date,Product Name,Quantity
2023-02-28,Bio Maziwa Lala - 350ml,1
2023-03-06,Bio Maziwa Lala - 350ml,1
2023-03-07,Bio Maziwa Lala - 350ml,3
2023-03-09,Bio Maziwa Lala - 350ml,2
2023-03-13,Bio Maziwa Lala - 350ml,1
2023-03-17,Bio Maziwa Lala - 350ml,1
2023-03-21,Bio Maziwa Lala - 350ml,1
2023-03-23,Bio Maziwa Lala - 350ml,2
2023-03-24,Bio Maziwa Lala - 350ml,1
2023-03-27,Bio Maziwa Lala - 350ml,4
2023-03-28,Bio Maziwa Lala - 350ml,1
2023-04-05,Bio Maziwa Lala - 350ml,1
2023-04-15,Bio Maziwa Lala - 350ml,1
2023-04-17,Bio Maziwa Lala - 350ml,1
2023-04-21,Bio Maziwa Lala - 350ml,12
2023-04-28,Bio Maziwa Lala - 350ml,1
2023-04-29,Bio Maziwa Lala - 350ml,4
2023-05-02,Bio Maziwa Lala - 350ml,4
