Date,Product Name,Quantity
2021-10-14,Bio Superlite Yoghurt Natural - 450ml,2
2021-10-21,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-03,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-04,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-09,Bio Superlite Yoghurt Natural - 450ml,3
2021-11-18,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-19,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-21,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-22,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-23,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-24,Bio Superlite Yoghurt Natural - 450ml,1
2021-11-28,Bio Superlite Yoghurt Natural - 450ml,1
2021-12-05,Bio Superlite Yoghurt Natural - 450ml,1
2021-12-09,Bio Superlite Yoghurt Natural - 450ml,1
2021-12-11,Bio Superlite Yoghurt Natural - 450ml,1
2021-12-15,Bio Superlite Yoghurt Natural - 450ml,1
2021-12-19,Bio Superlite Yoghurt Natural - 450ml,2
2021-12-28,Bio Superlite Yoghurt Natural - 450ml,1
2021-12-30,Bio Superlite Yoghurt Natural - 450ml,2
2022-01-03,Bio Superlite Yoghurt Natural - 450ml,3
2022-01-06,Bio Superlite Yoghurt Natural - 450ml,2
2022-01-09,Bio Superlite Yoghurt Natural - 450ml,8
2022-01-11,Bio Superlite Yoghurt Natural - 450ml,2
2022-01-15,Bio Superlite Yoghurt Natural - 450ml,6
2022-01-16,Bio Superlite Yoghurt Natural - 450ml,9
2022-01-17,Bio Superlite Yoghurt Natural - 450ml,3
2022-01-20,Bio Superlite Yoghurt Natural - 450ml,6
2022-01-23,Bio Superlite Yoghurt Natural - 450ml,6
2022-01-24,Bio Superlite Yoghurt Natural - 450ml,2
2022-01-26,Bio Superlite Yoghurt Natural - 450ml,2
2022-01-27,Bio Superlite Yoghurt Natural - 450ml,10
2022-01-28,Bio Superlite Yoghurt Natural - 450ml,4
2022-01-29,Bio Superlite Yoghurt Natural - 450ml,4
2022-01-30,Bio Superlite Yoghurt Natural - 450ml,8
2022-01-31,Bio Superlite Yoghurt Natural - 450ml,4
2022-02-02,Bio Superlite Yoghurt Natural - 450ml,8
2022-02-03,Bio Superlite Yoghurt Natural - 450ml,2
2022-02-04,Bio Superlite Yoghurt Natural - 450ml,4
2022-02-05,Bio Superlite Yoghurt Natural - 450ml,4
2022-02-07,Bio Superlite Yoghurt Natural - 450ml,6
2022-02-09,Bio Superlite Yoghurt Natural - 450ml,4
2022-02-13,Bio Superlite Yoghurt Natural - 450ml,4
2022-02-14,Bio Superlite Yoghurt Natural - 450ml,6
2022-02-15,Bio Superlite Yoghurt Natural - 450ml,2
2022-02-18,Bio Superlite Yoghurt Natural - 450ml,4
2022-02-20,Bio Superlite Yoghurt Natural - 450ml,2
2022-02-21,Bio Superlite Yoghurt Natural - 450ml,6
2022-02-23,Bio Superlite Yoghurt Natural - 450ml,6
2022-02-28,Bio Superlite Yoghurt Natural - 450ml,2
2022-03-01,Bio Superlite Yoghurt Natural - 450ml,8
2022-03-02,Bio Superlite Yoghurt Natural - 450ml,6
2022-03-03,Bio Superlite Yoghurt Natural - 450ml,6
2022-03-04,Bio Superlite Yoghurt Natural - 450ml,2
