Date,Product Name,Quantity
2022-05-07,Bio Berry Cocktail Yoghurt - 450ml,1
2022-05-09,Bio Berry Cocktail Yoghurt - 450ml,1
2022-05-10,Bio Berry Cocktail Yoghurt - 450ml,1
2022-05-16,Bio Berry Cocktail Yoghurt - 450ml,1
2022-05-27,Bio Berry Cocktail Yoghurt - 450ml,1
2022-05-30,Bio Berry Cocktail Yoghurt - 450ml,2
2022-06-02,Bio Berry Cocktail Yoghurt - 450ml,1
2022-06-05,Bio Berry Cocktail Yoghurt - 450ml,1
2022-06-08,Bio Berry Cocktail Yoghurt - 450ml,2
2022-06-14,Bio Berry Cocktail Yoghurt - 450ml,1
2022-06-18,Bio Berry Cocktail Yoghurt - 450ml,2
2022-06-23,Bio Berry Cocktail Yoghurt - 450ml,2
2022-06-25,Bio Berry Cocktail Yoghurt - 450ml,1
2022-06-27,Bio Berry Cocktail Yoghurt - 450ml,2
2022-07-20,Bio Berry Cocktail Yoghurt - 450ml,2
2022-08-16,Bio Berry Cocktail Yoghurt - 450ml,1
2022-08-18,Bio Berry Cocktail Yoghurt - 450ml,4
2022-08-24,Bio Berry Cocktail Yoghurt - 450ml,1
2022-08-25,Bio Berry Cocktail Yoghurt - 450ml,2
2022-08-26,Bio Berry Cocktail Yoghurt - 450ml,1
2022-08-30,Bio Berry Cocktail Yoghurt - 450ml,2
2022-09-01,Bio Berry Cocktail Yoghurt - 450ml,2
2022-09-11,Bio Berry Cocktail Yoghurt - 450ml,1
2022-09-12,Bio Berry Cocktail Yoghurt - 450ml,1
2022-09-15,Bio Berry Cocktail Yoghurt - 450ml,3
2022-09-17,Bio Berry Cocktail Yoghurt - 450ml,1
2022-09-20,Bio Berry Cocktail Yoghurt - 450ml,1
2022-10-03,Bio Berry Cocktail Yoghurt - 450ml,3
2022-10-05,Bio Berry Cocktail Yoghurt - 450ml,1
2022-10-06,Bio Berry Cocktail Yoghurt - 450ml,2
2022-10-09,Bio Berry Cocktail Yoghurt - 450ml,1
2022-10-15,Bio Berry Cocktail Yoghurt - 450ml,1
2022-10-23,Bio Berry Cocktail Yoghurt - 450ml,2
2022-10-27,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-02,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-06,Bio Berry Cocktail Yoghurt - 450ml,2
2022-11-07,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-09,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-10,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-11,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-13,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-15,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-16,Bio Berry Cocktail Yoghurt - 450ml,2
2022-11-21,Bio Berry Cocktail Yoghurt - 450ml,3
2022-11-27,Bio Berry Cocktail Yoghurt - 450ml,1
2022-11-30,Bio Berry Cocktail Yoghurt - 450ml,1
2022-12-03,Bio Berry Cocktail Yoghurt - 450ml,1
2022-12-07,Bio Berry Cocktail Yoghurt - 450ml,3
2022-12-12,Bio Berry Cocktail Yoghurt - 450ml,1
2022-12-20,Bio Berry Cocktail Yoghurt - 450ml,2
2022-12-22,Bio Berry Cocktail Yoghurt - 450ml,1
2023-01-02,Bio Berry Cocktail Yoghurt - 450ml,2
2023-01-04,Bio Berry Cocktail Yoghurt - 450ml,2
2023-01-19,Bio Berry Cocktail Yoghurt - 450ml,1
2023-01-26,Bio Berry Cocktail Yoghurt - 450ml,3
2023-01-29,Bio Berry Cocktail Yoghurt - 450ml,1
2023-02-08,Bio Berry Cocktail Yoghurt - 450ml,1
2023-02-09,Bio Berry Cocktail Yoghurt - 450ml,5
2023-02-15,Bio Berry Cocktail Yoghurt - 450ml,2
2023-02-17,Bio Berry Cocktail Yoghurt - 450ml,1
2023-02-18,Bio Berry Cocktail Yoghurt - 450ml,2
2023-02-20,Bio Berry Cocktail Yoghurt - 450ml,1
2023-02-24,Bio Berry Cocktail Yoghurt - 450ml,1
2023-02-26,Bio Berry Cocktail Yoghurt - 450ml,1
2023-02-27,Bio Berry Cocktail Yoghurt - 450ml,3
2023-03-06,Bio Berry Cocktail Yoghurt - 450ml,1
2023-03-09,Bio Berry Cocktail Yoghurt - 450ml,3
2023-03-14,Bio Berry Cocktail Yoghurt - 450ml,1
2023-03-17,Bio Berry Cocktail Yoghurt - 450ml,1
2023-03-20,Bio Berry Cocktail Yoghurt - 450ml,2
2023-03-22,Bio Berry Cocktail Yoghurt - 450ml,4
2023-03-24,Bio Berry Cocktail Yoghurt - 450ml,1
2023-03-28,Bio Berry Cocktail Yoghurt - 450ml,4
2023-03-30,Bio Berry Cocktail Yoghurt - 450ml,1
2023-04-02,Bio Berry Cocktail Yoghurt - 450ml,1
2023-04-05,Bio Berry Cocktail Yoghurt - 450ml,1
2023-04-13,Bio Berry Cocktail Yoghurt - 450ml,1
2023-04-14,Bio Berry Cocktail Yoghurt - 450ml,1
2023-04-17,Bio Berry Cocktail Yoghurt - 450ml,1
2023-04-27,Bio Berry Cocktail Yoghurt - 450ml,1
2023-04-28,Bio Berry Cocktail Yoghurt - 450ml,1
2023-05-03,Bio Berry Cocktail Yoghurt - 450ml,2
2023-05-11,Bio Berry Cocktail Yoghurt - 450ml,3
2023-05-12,Bio Berry Cocktail Yoghurt - 450ml,3
2023-05-14,Bio Berry Cocktail Yoghurt - 450ml,2
2023-05-21,Bio Berry Cocktail Yoghurt - 450ml,5
2023-05-22,Bio Berry Cocktail Yoghurt - 450ml,2
2023-05-23,Bio Berry Cocktail Yoghurt - 450ml,1
2023-05-25,Bio Berry Cocktail Yoghurt - 450ml,1
2023-05-26,Bio Berry Cocktail Yoghurt - 450ml,1
2023-05-28,Bio Berry Cocktail Yoghurt - 450ml,2
2023-05-31,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-01,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-04,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-07,Bio Berry Cocktail Yoghurt - 450ml,2
2023-06-11,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-12,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-15,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-18,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-19,Bio Berry Cocktail Yoghurt - 450ml,3
2023-06-24,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-25,Bio Berry Cocktail Yoghurt - 450ml,1
2023-06-30,Bio Berry Cocktail Yoghurt - 450ml,1
2023-07-03,Bio Berry Cocktail Yoghurt - 450ml,3
2023-07-04,Bio Berry Cocktail Yoghurt - 450ml,1
2023-07-08,Bio Berry Cocktail Yoghurt - 450ml,1
2023-07-09,Bio Berry Cocktail Yoghurt - 450ml,1
2023-07-12,Bio Berry Cocktail Yoghurt - 450ml,2
2023-07-13,Bio Berry Cocktail Yoghurt - 450ml,1
2023-07-20,Bio Berry Cocktail Yoghurt - 450ml,2
2023-07-21,Bio Berry Cocktail Yoghurt - 450ml,1
2023-07-27,Bio Berry Cocktail Yoghurt - 450ml,2
2023-08-08,Bio Berry Cocktail Yoghurt - 450ml,2
2023-08-18,Bio Berry Cocktail Yoghurt - 450ml,1
2023-08-20,Bio Berry Cocktail Yoghurt - 450ml,1
2023-08-21,Bio Berry Cocktail Yoghurt - 450ml,2
2023-08-22,Bio Berry Cocktail Yoghurt - 450ml,1
