Date,Product Name,Quantity
2022-12-13,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",1
2023-01-04,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",1
2023-01-09,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",1
2023-01-13,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",2
2023-01-16,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",2
2023-01-26,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",1
2023-02-13,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",3
2023-02-15,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",1
2023-02-22,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",2
2023-02-23,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",1
2023-02-24,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",2
2023-02-28,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Morning Delivery) - Chilli & Lemon",2
2023-03-01,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-03-08,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",2
2023-03-13,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-03-14,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-03-20,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-03-22,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-03-23,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-03-28,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-03-30,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",4
2023-04-14,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-04-15,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-04-19,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-04-27,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",2
2023-04-28,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-05-03,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-05-15,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",2
2023-05-22,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-05-23,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-05-29,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-06-02,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-06-05,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-06-08,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-06-12,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-07-03,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-07-12,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-07-27,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-08-17,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-08-23,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-09-01,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-09-12,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-09-13,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-09-19,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",2
2023-09-22,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-09-26,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-10-09,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
2023-10-11,"Bella Luna Kitchen Bagel Chips - 200g (Order by 8pm, Next Day Delivery) - Chilli & Lemon",1
