Date,Product Name,Quantity
2022-06-27,Böna Factory Hakuna Matata Githeri - 350g,1
2022-06-30,Böna Factory Hakuna Matata Githeri - 350g,1
2022-07-04,Böna Factory Hakuna Matata Githeri - 350g,1
2022-07-11,Böna Factory Hakuna Matata Githeri - 350g,1
2022-07-17,Böna Factory Hakuna Matata Githeri - 350g,2
2022-07-18,Böna Factory Hakuna Matata Githeri - 350g,1
2022-08-11,Böna Factory Hakuna Matata Githeri - 350g,1
2022-08-26,Böna Factory Hakuna Matata Githeri - 350g,1
2022-08-30,Böna Factory Hakuna Matata Githeri - 350g,1
2022-09-16,Böna Factory Hakuna Matata Githeri - 350g,1
2022-09-19,Böna Factory Hakuna Matata Githeri - 350g,1
2022-09-23,Böna Factory Hakuna Matata Githeri - 350g,1
2022-10-07,Böna Factory Hakuna Matata Githeri - 350g,2
2022-10-13,Böna Factory Hakuna Matata Githeri - 350g,2
2022-10-15,Böna Factory Hakuna Matata Githeri - 350g,1
2022-10-21,Böna Factory Hakuna Matata Githeri - 350g,4
2022-10-23,Böna Factory Hakuna Matata Githeri - 350g,1
2022-10-29,Böna Factory Hakuna Matata Githeri - 350g,2
2022-11-09,Böna Factory Hakuna Matata Githeri - 350g,1
