Date,Product Name,Quantity
2021-09-25,Bö Pasta Baobab 300g,2
2021-10-09,Bö Pasta Baobab 300g,1
2021-10-25,Bö Pasta Baobab 300g,1
2021-11-18,Bö Pasta Baobab 300g,1
2021-12-01,Bö Pasta Baobab 300g,1
2021-12-05,Bö Pasta Baobab 300g,1
2022-01-29,Bö Pasta Baobab 300g,2
2022-02-01,Bö Pasta Baobab 300g,2
2022-02-07,Bö Pasta Baobab 300g,2
2022-02-20,Bö Pasta Baobab 300g,2
2022-03-14,Bö Pasta Baobab 300g,1
2022-03-26,Bö Pasta Baobab 300g,1
2022-04-16,Bö Pasta Baobab 300g,1
2022-06-02,Bö Pasta Baobab 300g,1
2022-06-06,Bö Pasta Baobab 300g,1
2022-07-05,Bö Pasta Baobab 300g,1
2022-07-17,Bö Pasta Baobab 300g,1
2022-07-27,Bö Pasta Baobab 300g,1
2022-08-16,Bö Pasta Baobab 300g,1
2022-08-18,Bö Pasta Baobab 300g,1
2022-08-25,Bö Pasta Baobab 300g,1
2022-10-04,Bö Pasta Baobab 300g,1
2022-10-29,Bö Pasta Baobab 300g,1
2022-10-31,Bö Pasta Baobab 300g,1
2022-11-12,Bö Pasta Baobab 300g,1
2022-12-09,Bö Pasta Baobab 300g,1
2022-12-18,Bö Pasta Baobab 300g,1
2022-12-30,Bö Pasta Baobab 300g,2
2023-01-09,Bö Pasta Baobab 300g,1
2023-02-17,Bö Pasta Baobab 300g,1
2023-03-03,Bö Pasta Baobab 300g,2
2023-03-25,Bö Pasta Baobab 300g,1
2023-04-11,Bö Pasta Baobab 300g,1
