Date,Product Name,Quantity
2021-09-25,Bö Pasta Natural 400g,1
2021-10-12,Bö Pasta Natural 400g,1
2021-10-15,Bö Pasta Natural 400g,1
2021-10-18,Bö Pasta Natural 400g,2
2021-11-01,Bö Pasta Natural 400g,1
2021-11-02,Bö Pasta Natural 400g,1
2021-11-08,Bö Pasta Natural 400g,1
2021-11-09,Bö Pasta Natural 400g,2
2021-11-10,Bö Pasta Natural 400g,1
2021-11-11,Bö Pasta Natural 400g,1
2021-11-14,Bö Pasta Natural 400g,1
2021-11-17,Bö Pasta Natural 400g,1
2021-11-18,Bö Pasta Natural 400g,1
2021-11-24,Bö Pasta Natural 400g,3
2021-11-30,Bö Pasta Natural 400g,1
2021-12-01,Bö Pasta Natural 400g,1
2021-12-03,Bö Pasta Natural 400g,1
2021-12-06,Bö Pasta Natural 400g,1
2021-12-11,Bö Pasta Natural 400g,1
2021-12-12,Bö Pasta Natural 400g,1
2021-12-16,Bö Pasta Natural 400g,3
2021-12-18,Bö Pasta Natural 400g,2
2021-12-22,Bö Pasta Natural 400g,2
2021-12-24,Bö Pasta Natural 400g,2
2021-12-29,Bö Pasta Natural 400g,1
2022-01-26,Bö Pasta Natural 400g,2
2022-01-29,Bö Pasta Natural 400g,6
2022-02-02,Bö Pasta Natural 400g,6
2022-02-03,Bö Pasta Natural 400g,2
2022-02-07,Bö Pasta Natural 400g,2
2022-02-10,Bö Pasta Natural 400g,2
2022-02-17,Bö Pasta Natural 400g,2
2022-02-19,Bö Pasta Natural 400g,2
2022-02-22,Bö Pasta Natural 400g,2
2022-02-25,Bö Pasta Natural 400g,8
2022-02-26,Bö Pasta Natural 400g,4
2022-03-01,Bö Pasta Natural 400g,2
2022-03-09,Bö Pasta Natural 400g,1
2022-03-10,Bö Pasta Natural 400g,1
2022-03-11,Bö Pasta Natural 400g,2
2022-03-15,Bö Pasta Natural 400g,1
2022-03-16,Bö Pasta Natural 400g,1
2022-03-18,Bö Pasta Natural 400g,1
2022-03-19,Bö Pasta Natural 400g,1
2022-03-22,Bö Pasta Natural 400g,1
2022-03-25,Bö Pasta Natural 400g,1
2022-03-29,Bö Pasta Natural 400g,2
2022-04-02,Bö Pasta Natural 400g,1
2022-04-09,Bö Pasta Natural 400g,1
2022-04-13,Bö Pasta Natural 400g,1
2022-04-14,Bö Pasta Natural 400g,1
2022-04-22,Bö Pasta Natural 400g,1
2022-04-24,Bö Pasta Natural 400g,1
2022-04-25,Bö Pasta Natural 400g,1
2022-05-02,Bö Pasta Natural 400g,1
2022-05-04,Bö Pasta Natural 400g,2
2022-05-09,Bö Pasta Natural 400g,1
2022-05-11,Bö Pasta Natural 400g,4
2022-05-13,Bö Pasta Natural 400g,1
2022-05-16,Bö Pasta Natural 400g,3
2022-05-21,Bö Pasta Natural 400g,1
2022-05-23,Bö Pasta Natural 400g,1
2022-05-25,Bö Pasta Natural 400g,1
2022-06-07,Bö Pasta Natural 400g,3
2022-06-22,Bö Pasta Natural 400g,1
2022-06-23,Bö Pasta Natural 400g,3
2022-06-25,Bö Pasta Natural 400g,1
2022-06-26,Bö Pasta Natural 400g,1
2022-06-28,Bö Pasta Natural 400g,2
2022-07-02,Bö Pasta Natural 400g,1
2022-07-08,Bö Pasta Natural 400g,1
2022-07-13,Bö Pasta Natural 400g,1
2022-07-16,Bö Pasta Natural 400g,3
2022-07-17,Bö Pasta Natural 400g,1
2022-07-19,Bö Pasta Natural 400g,1
2022-07-27,Bö Pasta Natural 400g,1
2022-07-31,Bö Pasta Natural 400g,1
2022-08-03,Bö Pasta Natural 400g,2
2022-08-15,Bö Pasta Natural 400g,1
2022-08-16,Bö Pasta Natural 400g,1
2022-08-20,Bö Pasta Natural 400g,1
2022-08-25,Bö Pasta Natural 400g,1
2022-08-30,Bö Pasta Natural 400g,1
2022-09-01,Bö Pasta Natural 400g,1
2022-09-09,Bö Pasta Natural 400g,2
2022-09-12,Bö Pasta Natural 400g,1
2022-09-14,Bö Pasta Natural 400g,1
2022-09-21,Bö Pasta Natural 400g,1
2022-09-25,Bö Pasta Natural 400g,1
2022-10-11,Bö Pasta Natural 400g,1
2022-10-13,Bö Pasta Natural 400g,1
2022-10-14,Bö Pasta Natural 400g,2
2022-10-15,Bö Pasta Natural 400g,1
2022-10-17,Bö Pasta Natural 400g,2
2022-10-18,Bö Pasta Natural 400g,1
2022-10-22,Bö Pasta Natural 400g,1
2022-10-25,Bö Pasta Natural 400g,4
2022-10-28,Bö Pasta Natural 400g,2
2022-11-01,Bö Pasta Natural 400g,3
2022-11-04,Bö Pasta Natural 400g,2
2022-11-05,Bö Pasta Natural 400g,1
2022-11-08,Bö Pasta Natural 400g,1
2022-11-11,Bö Pasta Natural 400g,1
2022-11-18,Bö Pasta Natural 400g,2
2022-11-23,Bö Pasta Natural 400g,1
2022-11-24,Bö Pasta Natural 400g,1
2022-11-25,Bö Pasta Natural 400g,2
2022-11-28,Bö Pasta Natural 400g,1
2022-12-02,Bö Pasta Natural 400g,1
2022-12-05,Bö Pasta Natural 400g,1
2022-12-09,Bö Pasta Natural 400g,1
2022-12-17,Bö Pasta Natural 400g,2
2022-12-19,Bö Pasta Natural 400g,3
2022-12-20,Bö Pasta Natural 400g,1
2022-12-31,Bö Pasta Natural 400g,1
2023-01-05,Bö Pasta Natural 400g,3
2023-01-06,Bö Pasta Natural 400g,1
2023-01-09,Bö Pasta Natural 400g,1
2023-01-11,Bö Pasta Natural 400g,1
2023-01-17,Bö Pasta Natural 400g,3
2023-01-22,Bö Pasta Natural - 400g,1
2023-01-23,Bö Pasta Natural - 400g,3
2023-01-25,Bö Pasta Natural - 400g,1
2023-01-29,Bö Pasta Natural - 400g,4
2023-02-02,Bö Pasta Natural - 400g,1
2023-02-10,Bö Pasta Natural - 400g,1
2023-02-17,Bö Pasta Natural - 400g,1
2023-02-21,Bö Pasta Natural - 400g,1
2023-02-22,Bö Pasta Natural - 400g,1
2023-03-01,Bö Pasta Natural - 400g,1
2023-03-18,Bö Pasta Natural - 400g,1
2023-03-23,Bö Pasta Natural - 400g,1
2023-03-24,Bö Pasta Natural - 400g,3
2023-04-03,Bö Pasta Natural - 400g,1
2023-04-06,Bö Pasta Natural - 400g,1
2023-04-08,Bö Pasta Natural - 400g,1
2023-04-09,Bö Pasta Natural - 400g,1
2023-04-18,Bö Pasta Natural - 400g,1
2023-04-22,Bö Pasta Natural - 400g,1
2023-04-24,Bö Pasta Natural - 400g,1
2023-04-27,Bö Pasta Natural - 400g,1
2023-05-01,Bö Pasta Natural - 400g,2
2023-05-02,Bö Pasta Natural - 400g,1
