Date,Product Name,Quantity
2020-03-26,Boho Eatery Tacos - 12 pieces,1
2020-03-27,Boho Eatery Tacos - 12 pieces,5
2020-03-29,Boho Eatery Tacos - 12 pieces,1
2020-03-30,Boho Eatery Tacos - 12 pieces,5
2020-03-31,Boho Eatery Tacos - 12 pieces,2
2020-04-01,Boho Eatery Tacos - 12 pieces,5
2020-04-05,Boho Eatery Tacos - 12 pieces,1
2020-04-06,Boho Eatery Tacos - 12 pieces,3
2020-04-09,Boho Eatery Tacos - 12 pieces,2
2020-04-13,Boho Eatery Tacos - 12 pieces,1
2020-05-13,Boho Eatery Tacos - 12 pieces,3
2021-01-15,Boho Eatery Tacos - 12 pieces,2
