Date,Product Name,Quantity
2022-06-03,Bonika Plain Sweet Potato Crisps - 200g,3
2022-06-04,Bonika Plain Sweet Potato Crisps - 200g,3
2022-06-05,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-06,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-08,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-09,Bonika Plain Sweet Potato Crisps - 200g,3
2022-06-10,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-11,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-13,Bonika Plain Sweet Potato Crisps - 200g,2
2022-06-14,Bonika Plain Sweet Potato Crisps - 200g,2
2022-06-17,Bonika Plain Sweet Potato Crisps - 200g,2
2022-06-20,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-24,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-26,Bonika Plain Sweet Potato Crisps - 200g,2
2022-06-27,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-28,Bonika Plain Sweet Potato Crisps - 200g,1
2022-06-30,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-03,Bonika Plain Sweet Potato Crisps - 200g,2
2022-07-05,Bonika Plain Sweet Potato Crisps - 200g,2
2022-07-06,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-07,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-08,Bonika Plain Sweet Potato Crisps - 200g,2
2022-07-12,Bonika Plain Sweet Potato Crisps - 200g,2
2022-07-13,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-15,Bonika Plain Sweet Potato Crisps - 200g,2
2022-07-16,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-17,Bonika Plain Sweet Potato Crisps - 200g,3
2022-07-20,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-22,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-25,Bonika Plain Sweet Potato Crisps - 200g,2
2022-07-29,Bonika Plain Sweet Potato Crisps - 200g,1
2022-07-30,Bonika Plain Sweet Potato Crisps - 200g,3
2022-08-03,Bonika Plain Sweet Potato Crisps - 200g,2
2022-08-04,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-06,Bonika Plain Sweet Potato Crisps - 200g,2
2022-08-07,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-08,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-12,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-13,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-16,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-17,Bonika Plain Sweet Potato Crisps - 200g,2
2022-08-19,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-20,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-22,Bonika Plain Sweet Potato Crisps - 200g,4
2022-08-25,Bonika Plain Sweet Potato Crisps - 200g,3
2022-08-26,Bonika Plain Sweet Potato Crisps - 200g,3
2022-08-27,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-28,Bonika Plain Sweet Potato Crisps - 200g,4
2022-08-30,Bonika Plain Sweet Potato Crisps - 200g,1
2022-08-31,Bonika Plain Sweet Potato Crisps - 200g,1
2022-09-01,Bonika Plain Sweet Potato Crisps - 200g,1
2022-09-03,Bonika Plain Sweet Potato Crisps - 200g,1
2022-09-04,Bonika Plain Sweet Potato Crisps - 200g,1
2022-09-05,Bonika Plain Sweet Potato Crisps - 200g,2
2022-09-08,Bonika Plain Sweet Potato Crisps - 200g,1
2022-09-22,Bonika Plain Sweet Potato Crisps - 200g,1
2022-09-25,Bonika Plain Sweet Potato Crisps - 200g,2
2022-09-26,Bonika Plain Sweet Potato Crisps - 200g,2
2022-10-01,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-03,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-05,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-06,Bonika Plain Sweet Potato Crisps - 200g,2
2022-10-07,Bonika Plain Sweet Potato Crisps - 200g,4
2022-10-13,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-16,Bonika Plain Sweet Potato Crisps - 200g,2
2022-10-17,Bonika Plain Sweet Potato Crisps - 200g,2
2022-10-18,Bonika Plain Sweet Potato Crisps - 200g,5
2022-10-19,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-20,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-21,Bonika Plain Sweet Potato Crisps - 200g,4
2022-10-23,Bonika Plain Sweet Potato Crisps - 200g,3
2022-10-25,Bonika Plain Sweet Potato Crisps - 200g,2
2022-10-26,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-27,Bonika Plain Sweet Potato Crisps - 200g,1
2022-10-31,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-01,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-02,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-05,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-07,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-08,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-15,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-16,Bonika Plain Sweet Potato Crisps - 200g,2
2022-11-29,Bonika Plain Sweet Potato Crisps - 200g,1
2022-11-30,Bonika Plain Sweet Potato Crisps - 200g,2
2022-12-01,Bonika Plain Sweet Potato Crisps - 200g,1
2022-12-02,Bonika Plain Sweet Potato Crisps - 200g,1
2022-12-05,Bonika Plain Sweet Potato Crisps - 200g,1
2022-12-08,Bonika Plain Sweet Potato Crisps - 200g,1
2022-12-11,Bonika Plain Sweet Potato Crisps - 200g,1
2022-12-13,Bonika Plain Sweet Potato Crisps - 200g,1
2022-12-14,Bonika Plain Sweet Potato Crisps - 200g,4
2022-12-15,Bonika Plain Sweet Potato Crisps - 200g,3
2022-12-19,Bonika Plain Sweet Potato Crisps - 200g,1
2022-12-22,Bonika Plain Sweet Potato Crisps - 200g,3
2022-12-23,Bonika Plain Sweet Potato Crisps - 200g,2
2022-12-29,Bonika Plain Sweet Potato Crisps - 200g,2
2022-12-30,Bonika Plain Sweet Potato Crisps - 200g,5
2022-12-31,Bonika Plain Sweet Potato Crisps - 200g,2
2023-01-04,Bonika Plain Sweet Potato Crisps - 200g,2
2023-01-05,Bonika Plain Sweet Potato Crisps - 200g,1
2023-01-06,Bonika Plain Sweet Potato Crisps - 200g,1
2023-01-09,Bonika Plain Sweet Potato Crisps - 200g,1
2023-01-12,Bonika Plain Sweet Potato Crisps - 200g,1
2023-01-27,Bonika Plain Sweet Potato Crisps - 200g,1
2023-01-30,Bonika Plain Sweet Potato Crisps - 200g,1
2023-02-01,Bonika Plain Sweet Potato Crisps - 200g,1
