Date,Product Name,Quantity
2024-07-16,Booch Kombucha Hibiscus & Lemon - 300ml,5
2024-07-17,Booch Kombucha Hibiscus & Lemon - 300ml,13
2024-07-18,Booch Kombucha Hibiscus & Lemon - 300ml,7
2024-07-19,Booch Kombucha Hibiscus & Lemon - 300ml,2
2024-07-20,Booch Kombucha Hibiscus & Lemon - 300ml,2
2024-07-21,Booch Kombucha Hibiscus & Lemon - 300ml,2
2024-07-22,Booch Kombucha Hibiscus & Lemon - 300ml,9
2024-07-24,Booch Kombucha Hibiscus & Lemon - 300ml,4
2024-07-25,Booch Kombucha Hibiscus & Lemon - 300ml,9
2024-07-26,Booch Kombucha Hibiscus & Lemon - 300ml,2
2024-07-27,Booch Kombucha Hibiscus & Lemon - 300ml,6
2024-07-28,Booch Kombucha Hibiscus & Lemon - 300ml,5
2024-07-29,Booch Kombucha Hibiscus & Lemon - 300ml,3
2024-07-30,Booch Kombucha Hibiscus & Lemon - 300ml,3
2024-07-31,Booch Kombucha Hibiscus & Lemon - 300ml,1
2024-08-01,Booch Kombucha Hibiscus & Lemon - 300ml,3
2024-08-02,Booch Kombucha Hibiscus & Lemon - 300ml,3
2024-08-03,Booch Kombucha Hibiscus & Lemon - 300ml,6
2024-08-04,Booch Kombucha Hibiscus & Lemon - 300ml,4
2024-08-05,Booch Kombucha Hibiscus & Lemon - 300ml,2
2024-08-06,Booch Kombucha Hibiscus & Lemon - 300ml,2
2024-08-07,Booch Kombucha Hibiscus & Lemon - 300ml,4
2024-08-08,Booch Kombucha Hibiscus & Lemon - 300ml,2
2024-08-09,Booch Kombucha Hibiscus & Lemon - 300ml,12
2024-08-10,Booch Kombucha Hibiscus & Lemon - 300ml,8
2024-08-11,Booch Kombucha Hibiscus & Lemon - 300ml,7
2024-08-12,Booch Kombucha Hibiscus & Lemon - 300ml,7
2024-08-13,Booch Kombucha Hibiscus & Lemon - 300ml,9
