Date,Product Name,Quantity
2018-12-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2018-12-07,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2018-12-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2018-12-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2018-12-12,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2018-12-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2018-12-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2018-12-19,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-01-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,9
2019-01-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-01-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-12,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,6
2019-01-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-01-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,12
2019-01-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-01-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-01-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-01-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-01-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-01-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-02-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-02-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,8
2019-02-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-02-07,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-02-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-02-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-02-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-02-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-02-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-02-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-02-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,7
2019-02-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-02-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,8
2019-02-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-03-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,7
2019-03-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,6
2019-03-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-03-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-03-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-03-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-03-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-03-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-03-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-03-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-03-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-03-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,7
2019-03-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-04-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-04-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-04-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-04-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-04-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-04-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-04-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
