Date,Product Name,Quantity
2022-11-23,Brick Farm White Button & Cremini Mushroom Mix - 250g,1
2022-11-24,Brick Farm White Button & Cremini Mushroom Mix - 250g,1
2022-11-25,Brick Farm White Button & Cremini Mushroom Mix - 250g,9
2022-11-26,Brick Farm White Button & Cremini Mushroom Mix - 250g,2
2022-11-27,Brick Farm White Button & Cremini Mushroom Mix - 250g,4
2022-11-28,Brick Farm White Button & Cremini Mushroom Mix - 250g,3
2022-11-29,Brick Farm White Button & Cremini Mushroom Mix - 250g,4
2022-12-01,Brick Farm White Button & Cremini Mushroom Mix - 250g,1
2022-12-02,Brick Farm White Button & Cremini Mushroom Mix - 250g,3
2022-12-03,Brick Farm White Button & Cremini Mushroom Mix - 250g,2
2022-12-04,Brick Farm White Button & Cremini Mushroom Mix - 250g,2
2022-12-05,Brick Farm White Button & Cremini Mushroom Mix - 250g,4
2022-12-06,Brick Farm White Button & Cremini Mushroom Mix - 250g,4
2022-12-07,Brick Farm White Button & Cremini Mushroom Mix - 250g,1
2022-12-08,Brick Farm White Button & Cremini Mushroom Mix - 250g,1
2022-12-09,Brick Farm White Button & Cremini Mushroom Mix - 250g,2
2022-12-10,Brick Farm White Button & Cremini Mushroom Mix - 250g,6
2022-12-11,Brick Farm White Button & Cremini Mushroom Mix - 250g,5
2022-12-12,Brick Farm White Button & Cremini Mushroom Mix - 250g,2
2022-12-13,Brick Farm White Button & Cremini Mushroom Mix - 250g,2
2022-12-14,Brick Farm White Button & Cremini Mushroom Mix - 250g,3
