Date,Product Name,Quantity
2023-12-19,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2023-12-22,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2023-12-31,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-01-05,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-01-09,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-01-16,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-01-20,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-01-27,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",3
2024-02-04,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-05,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-07,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",2
2024-02-14,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-15,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-18,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",2
2024-02-22,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-24,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-25,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-27,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-02-28,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-03-01,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-03-05,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-03-06,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-03-11,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-03-21,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",2
2024-03-24,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-04-04,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-04-10,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",3
2024-04-18,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-05-13,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",2
2024-05-21,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-05-25,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-05-26,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-05-28,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",2
2024-06-01,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",2
2024-06-02,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-06-03,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-06-04,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",2
2024-06-28,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-01,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-07,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-20,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-22,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-25,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-26,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-30,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-07-31,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-08-07,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-08-09,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
2024-08-13,"Natural Baraka Peanut Butter Mixed With Sesame, Cashew Nuts & Flaxseed - 420g",1
