Date,Product Name,Quantity
2024-06-24,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-06-26,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-01,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-03,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,2
2024-07-06,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-08,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-09,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-11,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,2
2024-07-19,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-22,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-23,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-26,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-07-28,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,2
2024-07-29,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,2
2024-08-01,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-08-03,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-08-05,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-08-06,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-08-08,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
2024-08-12,Brookside Dairy Fresh Assorted Flavoured Milk - 250ml x 6 Pack,1
