Date,Product Name,Quantity
2024-06-24,Brookside Long Life Whole Milk - 250ml,2
2024-06-26,Brookside Long Life Whole Milk - 250ml,7
2024-06-28,Brookside Long Life Whole Milk - 250ml,3
2024-07-01,Brookside Long Life Whole Milk - 250ml,2
2024-07-02,Brookside Long Life Whole Milk - 250ml,6
2024-07-05,Brookside Long Life Whole Milk - 250ml,9
2024-07-09,Brookside Long Life Whole Milk - 250ml,16
2024-07-10,Brookside Long Life Whole Milk - 250ml,10
2024-07-11,Brookside Long Life Whole Milk - 250ml,3
2024-07-12,Brookside Long Life Whole Milk - 250ml,3
2024-07-15,Brookside Long Life Whole Milk - 250ml,15
2024-07-16,Brookside Long Life Whole Milk - 250ml,4
2024-07-19,Brookside Long Life Whole Milk - 250ml,8
2024-07-20,Brookside Long Life Whole Milk - 250ml,2
2024-07-25,Brookside Long Life Whole Milk - 250ml,2
2024-07-27,Brookside Long Life Whole Milk - 250ml,4
2024-07-28,Brookside Long Life Whole Milk - 250ml,2
2024-07-31,Brookside Long Life Whole Milk - 250ml,6
2024-08-01,Brookside Long Life Whole Milk - 250ml,15
2024-08-05,Brookside Long Life Whole Milk - 250ml,1
2024-08-08,Brookside Long Life Whole Milk - 250ml,4
2024-08-09,Brookside Long Life Whole Milk - 250ml,6
2024-08-10,Brookside Long Life Whole Milk - 250ml,1
2024-08-11,Brookside Long Life Whole Milk - 250ml,1
2024-08-12,Brookside Long Life Whole Milk - 250ml,1
