Date,Product Name,Quantity
2018-12-12,Brown's Gouda Portion - 200g,1
2018-12-17,Brown's Gouda Portion - 200g,1
2019-02-13,Brown's Gouda Portion - 200g,1
2019-02-19,Brown's Gouda Portion - 200g,1
2019-02-22,Brown's Gouda Portion - 200g,1
2019-03-04,Brown's Gouda Portion - 200g,1
2019-03-05,Brown's Gouda Portion - 200g,1
2019-03-08,Brown's Gouda Portion - 200g,1
2019-03-19,Brown's Gouda Portion - 200g,1
2019-04-01,Brown's Gouda Portion - 200g,1
2019-05-14,Brown's Gouda Portion - 200g,1
2019-05-27,Brown's Gouda Portion - 200g,2
2019-06-12,Brown's Gouda Portion - 200g,3
2019-06-17,Brown's Gouda Portion - 200g,1
2019-06-24,Brown's Gouda Portion - 200g,1
2019-06-26,Brown's Gouda Portion - 200g,1
2019-07-04,Brown's Gouda Portion - 200g,1
2019-07-08,Brown's Gouda Portion - 200g,1
2019-07-15,Brown's Gouda Portion - 200g,1
2019-07-24,Brown's Gouda Portion - 200g,1
2019-07-29,Brown's Gouda Portion - 200g,1
2019-08-06,Brown's Gouda Portion - 200g,1
2019-08-21,Brown's Gouda Portion - 200g,1
2019-08-22,Brown's Gouda Portion - 200g,1
2019-10-11,Brown's Gouda Portion - 200g,2
2019-10-22,Brown's Gouda Portion - 200g,1
2019-10-29,Brown's Gouda Portion - 200g,1
2019-10-31,Brown's Gouda Portion - 200g,1
2019-11-04,Brown's Gouda Portion - 200g,1
2019-11-13,Brown's Gouda Portion - 200g,1
2019-11-29,Brown's Gouda Portion - 200g,1
2019-12-04,Brown's Gouda Portion - 200g,1
2019-12-10,Brown's Gouda Portion - 200g,1
2019-12-13,Brown's Gouda Portion - 200g,1
2019-12-14,Brown's Gouda Portion - 200g,1
2019-12-16,Brown's Gouda Portion - 200g,1
2019-12-18,Brown's Gouda Portion - 200g,1
2020-01-03,Brown's Gouda Portion,2
2020-01-14,Brown's Gouda Portion,1
2020-01-22,Brown's Gouda Portion,1
2020-01-27,Brown's Gouda Portion,1
2020-02-17,Brown's Gouda Portion,1
2020-02-18,Brown's Gouda Portion,1
2020-02-24,Brown's Gouda Portion,1
2020-03-02,Brown's Gouda Portion,1
2020-03-03,Brown's Gouda Portion,2
2020-03-13,Brown's Gouda Portion,1
2020-03-16,Brown's Gouda Portion,3
2020-03-19,Brown's Gouda Portion,1
2020-03-25,Brown's Gouda Portion,1
2020-03-26,Brown's Gouda Portion,2
2020-03-27,Brown's Gouda Portion,2
2020-04-01,Brown's Gouda Portion,1
2020-04-09,Brown's Gouda Portion,4
2020-04-14,Brown's Gouda Portion,3
2020-04-15,Brown's Gouda Portion,1
2020-04-16,Brown's Gouda Portion,2
2020-04-20,Brown's Gouda Portion,2
2020-04-22,Brown's Gouda Portion,2
2020-04-26,Brown's Gouda Portion,1
2020-04-28,Brown's Gouda Portion,1
2020-04-30,Brown's Gouda Portion,2
2020-05-02,Brown's Gouda Portion,1
2020-05-04,Brown's Gouda Portion,4
2020-05-08,Brown's Gouda Portion,1
2020-05-12,Brown's Gouda Portion,2
2020-05-15,Brown's Gouda Portion,1
2020-05-16,Brown's Gouda Portion,1
2020-05-18,Brown's Gouda Portion,1
2020-05-20,Brown's Gouda Portion,1
2020-05-21,Brown's Gouda Portion,1
2020-05-26,Brown's Gouda Portion,1
2020-05-27,Brown's Gouda Portion,2
2020-06-04,Brown's Gouda Portion,1
2020-06-08,Brown's Gouda Portion,1
2020-06-11,Brown's Gouda Portion,2
2020-06-18,Brown's Gouda Portion,1
2020-06-19,Brown's Gouda Portion,2
2020-06-23,Brown's Gouda Portion,1
2020-06-24,Brown's Gouda Portion,1
2020-06-26,Brown's Gouda Portion,1
2020-07-06,Brown's Gouda Portion,1
2020-07-07,Brown's Gouda Portion,2
2020-07-10,Brown's Gouda Portion,1
2020-07-14,Brown's Gouda Portion,1
2020-07-17,Brown's Gouda Portion,3
2020-07-30,Brown's Gouda Portion,1
2020-08-13,Brown's Gouda Portion,2
2020-08-17,Brown's Gouda Portion,3
2020-08-19,Brown's Gouda Portion,1
2020-09-04,Brown's Gouda Portion,1
2020-09-11,Brown's Gouda Portion,3
2020-09-16,Brown's Gouda Portion,1
2020-09-17,Brown's Gouda Portion,1
2020-09-18,Brown's Gouda Portion,1
2020-09-22,Brown's Gouda Portion,4
2020-09-23,Brown's Gouda Portion,1
2020-09-24,Brown's Gouda Portion,1
2020-09-26,Brown's Gouda Portion,1
2020-09-28,Brown's Gouda Portion,1
2020-09-30,Brown's Gouda Portion,1
2020-10-01,Brown's Gouda Portion,1
2020-10-03,Brown's Gouda Portion,1
2020-10-07,Brown's Gouda Portion,2
2020-10-08,Brown's Gouda Portion,1
2020-10-09,Brown's Gouda Portion,2
2020-10-12,Brown's Gouda Portion,1
2020-10-15,Brown's Gouda Portion,1
2020-10-19,Brown's Gouda Portion,1
2020-10-22,Brown's Gouda Portion,1
2020-10-27,Brown's Gouda Portion,1
2020-10-28,Brown's Gouda Portion,2
2020-10-30,Brown's Gouda Portion,1
2020-11-04,Brown's Gouda Portion,3
2020-11-11,Brown's Gouda Portion,2
2020-11-23,Brown's Gouda Portion,1
2020-11-24,Brown's Gouda Portion,1
2020-11-27,Brown's Gouda Portion,1
2020-12-01,Brown's Gouda Portion,2
2020-12-09,Brown's Gouda Portion,1
2020-12-14,Brown's Gouda Portion,2
2020-12-20,Brown's Gouda Portion,1
2020-12-21,Brown's Gouda Portion,1
2020-12-28,Brown's Gouda Portion,2
2020-12-29,Brown's Gouda Portion,1
2021-01-06,Brown's Gouda Portion,2
2021-01-14,Brown's Gouda Portion,1
2021-01-15,Brown's Gouda Portion,3
2021-01-21,Brown's Gouda Portion,2
2021-01-28,Brown's Gouda Portion,5
2021-02-03,Brown's Gouda Portion,2
2021-02-04,Brown's Gouda Portion,1
2021-02-10,Brown's Gouda Portion,1
2021-02-15,Brown's Gouda Portion,1
2021-02-16,Brown's Gouda Portion,2
2021-02-18,Brown's Gouda Portion,2
2021-02-20,Brown's Gouda Portion,1
2021-02-24,Brown's Gouda Portion,1
2021-02-28,Brown's Gouda Portion,1
2021-03-01,Brown's Gouda Portion,1
2021-03-12,Brown's Gouda Portion- 200g,1
2021-03-15,Brown's Gouda Portion- 200g,1
2021-03-16,Brown's Gouda Portion- 200g,1
