Date,Product Name,Quantity
2023-08-04,Brown's Shredded White Cheddar - 1Kg,1
2023-08-05,Brown's Shredded White Cheddar - 1Kg,1
2023-09-04,Brown's Shredded White Cheddar - 1Kg,1
2023-09-08,Brown's Shredded White Cheddar - 1Kg,1
2023-09-10,Brown's Shredded White Cheddar - 1Kg,1
2023-09-13,Brown's Shredded White Cheddar - 1Kg,1
2023-09-20,Brown's Shredded White Cheddar - 1Kg,1
2023-09-25,Brown's Shredded White Cheddar - 1Kg,1
2023-09-27,Brown's Shredded White Cheddar - 1Kg,1
2023-10-05,Brown's Shredded White Cheddar - 1Kg,1
2023-10-15,Brown's Shredded White Cheddar - 1Kg,1
2023-10-30,Brown's Shredded White Cheddar - 1Kg,2
2023-11-10,Brown's Shredded White Cheddar - 1Kg,2
2023-11-18,Brown's Shredded White Cheddar - 1Kg,1
2023-11-27,Brown's Shredded White Cheddar - 1Kg,1
2023-11-30,Brown's Shredded White Cheddar - 1Kg,1
2023-12-05,Brown's Shredded White Cheddar - 1Kg,1
2023-12-19,Brown's Shredded White Cheddar - 1Kg,1
2023-12-28,Brown's Shredded White Cheddar - 1Kg,1
2024-01-04,Brown's Shredded White Cheddar - 1Kg,1
2024-01-14,Brown's Shredded White Cheddar - 1Kg,1
2024-01-15,Brown's Shredded White Cheddar - 1Kg,1
2024-01-16,Brown's Shredded White Cheddar - 1Kg,1
2024-01-18,Brown's Shredded White Cheddar - 1Kg,2
2024-01-22,Brown's Shredded White Cheddar - 1Kg,1
2024-02-01,Brown's Shredded White Cheddar - 1Kg,1
2024-02-09,Brown's Shredded White Cheddar - 1Kg,1
2024-03-05,Brown's Shredded White Cheddar - 1Kg,1
2024-05-26,Brown's Shredded White Cheddar - 1Kg,1
2024-06-04,Brown's Shredded White Cheddar - 1Kg,3
2024-06-12,Brown's Shredded White Cheddar - 1Kg,1
2024-06-17,Brown's Shredded White Cheddar - 1Kg,1
2024-06-21,Brown's Shredded White Cheddar - 1Kg,1
2024-06-30,Brown's Shredded White Cheddar - 1Kg,1
2024-07-18,Brown's Shredded White Cheddar - 1Kg,1
2024-07-27,Brown's Shredded White Cheddar - 1Kg,1
2024-08-05,Brown's Shredded White Cheddar - 1Kg,1
2024-08-11,Brown's Shredded White Cheddar - 1Kg,1
