Date,Product Name,Quantity
2018-12-10,Brown's Greek Yoghurt,2
2018-12-11,Brown's Greek Yoghurt,1
2018-12-13,Brown's Greek Yoghurt,1
2018-12-20,Brown's Greek Yoghurt,3
2019-01-03,Brown's Greek Yoghurt,1
2019-01-07,Brown's Greek Yoghurt,2
2019-01-09,Brown's Greek Yoghurt,2
2019-01-19,Brown's Greek Yoghurt,1
2019-01-20,Brown's Greek Yoghurt,2
2019-01-23,Brown's Greek Yoghurt,2
2019-02-03,Brown's Greek Yoghurt,2
2019-02-11,Brown's Greek Yoghurt,1
2019-02-14,Brown's Greek Yoghurt,2
2019-03-04,Brown's Greek Yoghurt,1
2019-03-06,Brown's Greek Yoghurt,1
2019-03-08,Brown's Greek Yoghurt,1
2019-03-14,Brown's Greek Yoghurt,1
2019-04-09,Brown's Greek Yoghurt,1
2019-04-11,Brown's Greek Yoghurt,1
2019-04-17,Brown's Greek Yoghurt,2
2019-05-14,Brown's Greek Yoghurt,2
2019-06-10,Brown's Greek Yoghurt,1
2019-06-20,Brown's Greek Yoghurt,1
2019-07-11,Brown's Greek Yoghurt,1
2019-07-16,Brown's Greek Yoghurt,1
2019-07-28,Brown's Greek Yoghurt,1
2019-08-11,Brown's Greek Yoghurt,2
2019-08-22,Brown's Greek Yoghurt,2
2019-08-29,Brown's Greek Yoghurt,3
2019-09-08,Brown's Greek Yoghurt,1
2019-09-12,Brown's Greek Yoghurt,1
2019-09-17,Brown's Greek Yoghurt,1
2019-09-24,Brown's Greek Yoghurt,3
2019-09-30,Brown's Greek Yoghurt,1
2019-10-01,Brown's Greek Yoghurt,1
2019-10-06,Brown's Greek Yoghurt,2
2019-10-12,Brown's Greek Yoghurt,1
2019-10-15,Brown's Greek Yoghurt,1
2019-10-22,Brown's Greek Yoghurt,2
2019-10-23,Brown's Greek Yoghurt,1
2019-10-29,Brown's Greek Yoghurt,3
2019-11-14,Brown's Greek Yoghurt,2
2019-11-18,Brown's Greek Yoghurt,2
2019-12-12,Brown's Greek Yoghurt,2
2019-12-18,Brown's Greek Yoghurt,1
2019-12-20,Brown's Greek Yoghurt,1
2020-01-09,Brown's Greek Yoghurt,1
2020-01-22,Brown's Greek Yoghurt,1
2020-01-27,Brown's Greek Yoghurt,1
2020-02-10,Brown's Greek Yoghurt,1
2020-02-12,Brown's Greek Yoghurt,1
2020-02-21,Brown's Greek Yoghurt,1
2021-01-28,Brown's Greek Yoghurt,2
2021-02-03,Brown's Greek Yoghurt,4
2021-02-12,Brown's Greek Yoghurt,2
2021-02-15,Brown's Greek Yoghurt,1
2021-02-18,Brown's Greek Yoghurt,1
2021-02-20,Brown's Greek Yoghurt,1
2021-03-02,Brown's Greek Yoghurt,1
2021-03-05,Brown's Greek Yoghurt,4
2021-03-09,Brown's Greek Yoghurt,1
2021-03-16,Brown's Greek Yoghurt,3
2021-03-22,Brown's Greek Yoghurt,3
2021-03-29,Brown's Greek Yoghurt,1
2021-03-31,Brown's Greek Yoghurt,2
2021-04-05,Brown's Greek Yoghurt,1
2021-04-06,Brown's Greek Yoghurt,1
2021-04-12,Brown's Greek Yoghurt,1
2021-04-16,Brown's Greek Yoghurt,1
2021-04-23,Brown's Greek Yoghurt,2
2021-04-24,Brown's Greek Yoghurt,1
2021-04-30,Brown's Greek Yoghurt,1
2021-05-03,Brown's Greek Yoghurt,1
2021-05-10,Brown's Greek Yoghurt,1
2021-05-12,Brown's Greek Yoghurt,1
2021-05-18,Brown's Greek Yoghurt,1
2021-05-25,Brown's Greek Yoghurt,1
2021-06-02,Brown's Greek Yoghurt,1
2021-06-09,Brown's Greek Yoghurt,1
2021-06-24,Brown's Greek Yoghurt,5
2021-06-25,Brown's Greek Yoghurt,1
2021-06-28,Brown's Greek Yoghurt,1
2021-07-08,Brown's Greek Yoghurt,8
2021-07-17,Brown's Greek Yoghurt,1
2021-07-28,Brown's Greek Yoghurt,1
2021-08-02,Brown's Greek Yoghurt,1
2021-08-06,Brown's Greek Yoghurt,1
2021-08-09,Brown's Greek Yoghurt,2
2021-08-12,Brown's Greek Yoghurt,1
2021-08-13,Brown's Greek Yoghurt,1
