Date,Product Name,Quantity
2023-09-08,Brown's Plant Based Butter - 150g,3
2023-09-09,Brown's Plant Based Butter - 150g,2
2023-09-10,Brown's Plant Based Butter - 150g,2
2023-09-11,Brown's Plant Based Butter - 150g,1
2023-09-14,Brown's Plant Based Butter - 150g,2
2023-09-15,Brown's Plant Based Butter - 150g,3
2023-09-16,Brown's Plant Based Butter - 150g,1
2023-09-17,Brown's Plant Based Butter - 150g,1
2023-09-18,Brown's Plant Based Butter - 150g,3
2023-09-19,Brown's Plant Based Butter - 150g,3
2023-09-20,Brown's Plant Based Butter - 150g,1
2023-09-21,Brown's Plant Based Butter - 150g,2
2023-09-22,Brown's Plant Based Butter - 150g,4
2023-09-27,Brown's Plant Based Butter - 150g,1
2023-09-28,Brown's Plant Based Butter - 150g,3
2023-09-29,Brown's Plant Based Butter - 150g,4
2023-09-30,Brown's Plant Based Butter - 150g,2
2023-10-01,Brown's Plant Based Butter - 150g,1
2023-10-02,Brown's Plant Based Butter - 150g,3
2023-10-03,Brown's Plant Based Butter - 150g,4
2023-10-04,Brown's Plant Based Butter - 150g,2
2023-10-05,Brown's Plant Based Butter - 150g,6
2023-10-07,Brown's Plant Based Butter - 150g,5
2023-10-08,Brown's Plant Based Butter - 150g,1
2023-10-09,Brown's Plant Based Butter - 150g,4
2023-10-10,Brown's Plant Based Butter - 150g,1
2023-10-11,Brown's Plant Based Butter - 150g,2
2023-10-12,Brown's Plant Based Butter - 150g,5
2023-10-13,Brown's Plant Based Butter - 150g,1
2023-10-17,Brown's Plant Based Butter - 150g,2
2023-10-18,Brown's Plant Based Butter - 150g,6
2023-10-19,Brown's Plant Based Butter - 150g,2
2023-10-23,Brown's Plant Based Butter - 150g,1
2023-10-27,Brown's Plant Based Butter - 150g,3
2023-10-28,Brown's Plant Based Butter - 150g,2
2023-10-29,Brown's Plant Based Butter - 150g,3
2023-10-30,Brown's Plant Based Butter - 150g,5
2023-10-31,Brown's Plant Based Butter - 150g,1
2023-11-02,Brown's Plant Based Butter - 150g,1
2023-11-03,Brown's Plant Based Butter - 150g,2
2023-11-04,Brown's Plant Based Butter - 150g,1
2023-11-06,Brown's Plant Based Butter - 150g,5
2023-11-07,Brown's Plant Based Butter - 150g,1
2023-11-08,Brown's Plant Based Butter - 150g,1
2023-11-09,Brown's Plant Based Butter - 150g,1
2023-11-10,Brown's Plant Based Butter - 150g,2
2023-11-11,Brown's Plant Based Butter - 150g,2
2023-11-12,Brown's Plant Based Butter - 150g,1
2023-11-13,Brown's Plant Based Butter - 150g,3
2023-11-14,Brown's Plant Based Butter - 150g,1
2023-11-16,Brown's Plant Based Butter - 150g,1
2023-11-17,Brown's Plant Based Butter - 150g,2
2023-11-20,Brown's Plant Based Butter - 150g,7
2023-11-23,Brown's Plant Based Butter - 150g,1
2023-11-24,Brown's Plant Based Butter - 150g,2
2023-11-25,Brown's Plant Based Butter - 150g,2
2023-11-26,Brown's Plant Based Butter - 150g,1
2023-11-27,Brown's Plant Based Butter - 150g,1
2023-11-30,Brown's Plant Based Butter - 150g,2
2024-07-09,Grove and Meadow Plant Based Butter - 200g,1
2024-07-10,Grove and Meadow Plant Based Butter - 200g,1
2024-07-11,Grove and Meadow Plant Based Butter - 200g,1
2024-07-12,Grove and Meadow Plant Based Butter - 200g,1
2024-07-13,Grove and Meadow Plant Based Butter - 200g,1
2024-07-14,Grove and Meadow Plant Based Butter - 200g,3
2024-07-23,Grove and Meadow Plant Based Butter - 200g,1
2024-07-24,Grove and Meadow Plant Based Butter - 200g,2
2024-07-25,Grove and Meadow Plant Based Butter - 200g,1
2024-07-26,Grove and Meadow Plant Based Butter - 200g,7
2024-07-30,Grove and Meadow Plant Based Butter - 200g,3
2024-08-01,Grove and Meadow Plant Based Butter - 200g,5
2024-08-03,Grove and Meadow Plant Based Butter - 200g,5
2024-08-05,Grove and Meadow Plant Based Butter - 200g,4
2024-08-06,Grove and Meadow Plant Based Butter - 200g,1
2024-08-07,Grove and Meadow Plant Based Butter - 200g,3
2024-08-08,Grove and Meadow Plant Based Butter - 200g,6
2024-08-10,Grove and Meadow Plant Based Butter - 200g,1
2024-08-12,Grove and Meadow Plant Based Butter - 200g,1
2024-08-13,Grove and Meadow Plant Based Butter - 200g,1
