Date,Product Name,Quantity
2023-09-08,Brown's Plant Based Feta - 200g,1
2023-09-10,Brown's Plant Based Feta - 200g,2
2023-09-11,Brown's Plant Based Feta - 200g,1
2023-09-12,Brown's Plant Based Feta - 200g,2
2023-09-14,Brown's Plant Based Feta - 200g,1
2023-09-15,Brown's Plant Based Feta - 200g,3
2023-09-20,Brown's Plant Based Feta - 200g,1
2023-09-21,Brown's Plant Based Feta - 200g,2
2023-09-22,Brown's Plant Based Feta - 200g,2
2023-09-24,Brown's Plant Based Feta - 200g,2
2023-09-26,Brown's Plant Based Feta - 200g,3
2023-09-30,Brown's Plant Based Feta - 200g,1
2023-10-01,Brown's Plant Based Feta - 200g,1
2023-10-04,Brown's Plant Based Feta - 200g,1
2023-10-05,Brown's Plant Based Feta - 200g,2
2023-10-09,Brown's Plant Based Feta - 200g,3
2023-10-10,Brown's Plant Based Feta - 200g,3
2023-10-13,Brown's Plant Based Feta - 200g,1
2023-10-14,Brown's Plant Based Feta - 200g,2
2023-10-15,Brown's Plant Based Feta - 200g,1
2023-10-16,Brown's Plant Based Feta - 200g,1
2023-10-19,Brown's Plant Based Feta - 200g,4
2023-10-21,Brown's Plant Based Feta - 200g,1
2023-10-23,Brown's Plant Based Feta - 200g,3
2023-10-27,Brown's Plant Based Feta - 200g,2
2023-10-30,Brown's Plant Based Feta - 200g,2
2023-10-31,Brown's Plant Based Feta - 200g,1
2023-11-02,Brown's Plant Based Feta - 200g,2
2023-11-03,Brown's Plant Based Feta - 200g,2
2023-11-09,Brown's Plant Based Feta - 200g,1
2023-11-11,Brown's Plant Based Feta - 200g,1
2023-11-13,Brown's Plant Based Feta - 200g,2
2023-11-14,Brown's Plant Based Feta - 200g,2
2023-11-15,Brown's Plant Based Feta - 200g,3
2023-11-16,Brown's Plant Based Feta - 200g,2
2023-11-17,Brown's Plant Based Feta - 200g,1
2023-11-18,Brown's Plant Based Feta - 200g,2
2023-11-19,Brown's Plant Based Feta - 200g,1
2023-11-20,Brown's Plant Based Feta - 200g,4
2023-11-27,Brown's Plant Based Feta - 200g,1
2023-11-28,Brown's Plant Based Feta - 200g,1
2023-11-29,Brown's Plant Based Feta - 200g,1
2023-12-01,Brown's Plant Based Feta - 200g,1
2023-12-03,Brown's Plant Based Feta - 200g,3
2023-12-04,Brown's Plant Based Feta - 200g,1
2023-12-05,Brown's Plant Based Feta - 200g,1
2023-12-06,Brown's Plant Based Feta - 200g,3
2023-12-07,Brown's Plant Based Feta - 200g,1
2023-12-13,Brown's Plant Based Feta - 200g,2
2023-12-14,Brown's Plant Based Feta - 200g,1
2023-12-16,Brown's Plant Based Feta - 200g,1
2023-12-17,Brown's Plant Based Feta - 200g,1
2023-12-18,Brown's Plant Based Feta - 200g,2
2023-12-21,Brown's Plant Based Feta - 200g,2
2023-12-22,Brown's Plant Based Feta - 200g,1
2023-12-28,Brown's Plant Based Feta - 200g,2
2023-12-29,Brown's Plant Based Feta - 200g,1
2024-01-05,Brown's Plant Based Feta - 200g,1
2024-01-06,Brown's Plant Based Feta - 200g,1
2024-01-08,Brown's Plant Based Feta - 200g,2
2024-01-11,Brown's Plant Based Feta - 200g,2
2024-01-13,Brown's Plant Based Feta - 200g,1
2024-01-14,Brown's Plant Based Feta - 200g,1
2024-01-15,Brown's Plant Based Feta - 200g,1
