Date,Product Name,Quantity
2020-05-21,Brown's Reserve Potted Brie- 250g,1
2020-05-22,Brown's Reserve Potted Brie- 250g,1
2020-05-23,Brown's Reserve Potted Brie- 250g,1
2020-05-26,Brown's Reserve Potted Brie- 250g,3
2020-05-27,Brown's Reserve Potted Brie- 250g,1
2020-06-01,Brown's Reserve Potted Brie- 250g,2
2020-06-02,Brown's Reserve Potted Brie- 250g,1
2020-06-04,Brown's Reserve Potted Brie- 250g,5
2020-06-06,Brown's Reserve Potted Brie- 250g,1
2020-06-08,Brown's Reserve Potted Brie- 250g,2
2020-06-09,Brown's Reserve Potted Brie- 250g,3
2020-06-17,Brown's Reserve Potted Brie- 250g,3
2020-06-18,Brown's Reserve Potted Brie- 250g,1
2020-06-19,Brown's Reserve Potted Brie- 250g,3
2020-06-20,Brown's Reserve Potted Brie- 250g,1
2020-06-22,Brown's Reserve Potted Brie- 250g,2
2020-06-24,Brown's Reserve Potted Brie- 250g,2
2020-06-25,Brown's Reserve Potted Brie- 250g,1
2020-06-29,Brown's Reserve Potted Brie- 250g,1
2020-07-06,Brown's Reserve Potted Brie- 250g,2
2020-07-07,Brown's Reserve Potted Brie- 250g,2
2020-07-08,Brown's Reserve Potted Brie- 250g,1
2020-07-09,Brown's Reserve Potted Brie- 250g,3
2020-07-13,Brown's Reserve Potted Brie- 250g,2
2020-07-24,Brown's Reserve Potted Brie- 250g,2
2020-07-27,Brown's Reserve Potted Brie- 250g,1
2020-07-29,Brown's Reserve Potted Brie- 250g,1
2020-07-30,Brown's Reserve Potted Brie- 250g,1
2020-08-01,Brown's Reserve Potted Brie- 250g,3
2020-08-03,Brown's Reserve Potted Brie- 250g,2
2020-08-04,Brown's Reserve Potted Brie- 250g,3
2020-08-05,Brown's Reserve Potted Brie- 250g,1
2020-08-10,Brown's Reserve Potted Brie- 250g,1
2020-08-13,Brown's Reserve Potted Brie- 250g,1
2020-08-15,Brown's Reserve Potted Brie- 250g,1
2020-08-19,Brown's Reserve Potted Brie- 250g,1
2020-08-27,Brown's Reserve Potted Brie- 250g,1
2020-09-01,Brown's Reserve Potted Brie- 250g,2
2020-09-03,Brown's Reserve Potted Brie- 250g,1
2020-09-04,Brown's Reserve Potted Brie- 250g,2
2020-09-07,Brown's Reserve Potted Brie- 250g,2
2020-09-17,Brown's Reserve Potted Brie- 250g,1
2020-09-18,Brown's Reserve Potted Brie- 250g,1
2020-09-26,Brown's Reserve Potted Brie- 250g,1
2020-09-29,Brown's Reserve Potted Brie- 250g,1
2020-09-30,Brown's Reserve Potted Brie- 250g,4
2020-10-01,Brown's Reserve Potted Brie- 250g,1
2020-10-05,Brown's Reserve Potted Brie- 250g,1
2020-10-06,Brown's Reserve Potted Brie- 250g,3
2020-10-07,Brown's Reserve Potted Brie- 250g,1
2020-10-08,Brown's Reserve Potted Brie- 250g,1
2020-10-09,Brown's Reserve Potted Brie- 250g,1
2020-10-13,Brown's Reserve Potted Brie- 250g,3
2020-10-15,Brown's Reserve Potted Brie- 250g,1
2020-10-16,Brown's Reserve Potted Brie- 250g,1
2020-10-22,Brown's Reserve Potted Brie- 250g,1
2020-10-23,Brown's Reserve Potted Brie- 250g,1
2020-10-26,Brown's Reserve Potted Brie- 250g,1
2020-10-27,Brown's Reserve Potted Brie- 250g,1
2020-10-29,Brown's Reserve Potted Brie- 250g,1
2020-10-30,Brown's Reserve Potted Brie- 250g,4
2020-11-05,Brown's Reserve Potted Brie- 250g,3
2020-11-11,Brown's Reserve Potted Brie- 250g,1
2020-11-16,Brown's Reserve Potted Brie- 250g,3
2020-11-20,Brown's Reserve Potted Brie- 250g,2
2020-11-23,Brown's Reserve Potted Brie- 250g,1
2020-11-24,Brown's Reserve Potted Brie- 250g,3
2020-12-01,Brown's Reserve Potted Brie- 250g,2
2020-12-09,Brown's Reserve Potted Brie- 250g,1
2021-01-15,Brown's Reserve Potted Brie- 250g,1
2021-02-06,Brown's Reserve Potted Brie- 250g,4
2021-03-11,Brown's Reserve Potted Brie- 250g,2
2021-03-12,Brown's Reserve Potted Brie- 250g,1
2021-03-16,Brown's Reserve Potted Brie- 250g,1
2021-03-23,Brown's Reserve Potted Brie- 250g,1
2021-03-25,Brown's Reserve Potted Brie- 250g,1
2021-03-26,Brown's Reserve Potted Brie- 250g,2
2021-03-27,Brown's Reserve Potted Brie- 250g,1
2021-03-30,Brown's Reserve Potted Brie- 250g,1
2021-03-31,Brown's Reserve Potted Brie- 250g,1
2021-04-12,Brown's Reserve Potted Brie- 250g,2
2021-04-16,Brown's Reserve Potted Brie- 250g,1
2021-04-19,Brown's Reserve Potted Brie- 250g,1
2021-04-21,Brown's Reserve Potted Brie- 250g,1
2021-04-26,Brown's Reserve Potted Brie- 250g,1
2021-05-08,Brown's Reserve Potted Brie- 250g,1
