Date,Product Name,Quantity
2018-12-06,Brown's String Cheese - 180g,1
2018-12-10,Brown's String Cheese - 180g,1
2018-12-12,Brown's String Cheese - 180g,2
2018-12-19,Brown's String Cheese - 180g,2
2019-01-07,Brown's String Cheese - 180g,1
2019-01-08,Brown's String Cheese - 180g,1
2019-01-10,Brown's String Cheese - 180g,1
2019-01-11,Brown's String Cheese - 180g,1
2019-01-15,Brown's String Cheese - 180g,2
2019-01-19,Brown's String Cheese - 180g,1
2019-01-22,Brown's String Cheese - 180g,1
2019-01-27,Brown's String Cheese - 180g,1
2019-02-05,Brown's String Cheese - 180g,1
2019-02-18,Brown's String Cheese - 180g,1
2019-02-25,Brown's String Cheese - 180g,1
2019-02-27,Brown's String Cheese - 180g,1
2019-03-05,Brown's String Cheese - 180g,1
2019-03-11,Brown's String Cheese - 180g,1
2019-03-12,Brown's String Cheese - 180g,1
2019-03-14,Brown's String Cheese - 180g,3
2019-03-22,Brown's String Cheese - 180g,1
2019-03-26,Brown's String Cheese - 180g,1
2019-03-29,Brown's String Cheese - 180g,1
2019-04-03,Brown's String Cheese - 180g,1
2019-04-06,Brown's String Cheese - 180g,1
2019-04-15,Brown's String Cheese - 180g,1
2019-04-23,Brown's String Cheese - 180g,1
2019-04-24,Brown's String Cheese - 180g,1
2019-05-01,Brown's String Cheese - 180g,2
2019-05-06,Brown's String Cheese - 180g,2
2019-05-13,Brown's String Cheese - 180g,1
2019-05-17,Brown's String Cheese - 180g,1
2019-05-20,Brown's String Cheese - 180g,1
2019-05-28,Brown's String Cheese - 180g,1
2019-05-29,Brown's String Cheese - 180g,1
2019-06-07,Brown's String Cheese - 180g,1
2019-06-09,Brown's String Cheese - 180g,1
2019-06-10,Brown's String Cheese - 180g,1
2019-06-17,Brown's String Cheese - 180g,2
2019-06-18,Brown's String Cheese - 180g,1
2019-07-06,Brown's String Cheese - 180g,1
2019-07-11,Brown's String Cheese - 180g,1
2019-07-14,Brown's String Cheese - 180g,1
2019-07-15,Brown's String Cheese - 180g,2
2019-07-23,Brown's String Cheese - 180g,1
2019-08-02,Brown's String Cheese - 180g,1
2019-08-05,Brown's String Cheese - 180g,1
