Date,Product Name,Quantity
2021-04-30,Brothies Beef Broth - 700ml,3
2021-05-03,Brothies Beef Broth - 700ml,2
2021-05-04,Brothies Beef Broth - 700ml,4
2021-05-08,Brothies Beef Broth - 700ml,3
2021-05-17,Brothies Beef Broth - 700ml,6
2021-05-18,Brothies Beef Broth - 700ml,3
2021-05-20,Brothies Beef Broth - 700ml,2
2021-05-21,Brothies Beef Broth - 700ml,6
2021-05-24,Brothies Beef Broth - 700ml,3
2021-05-25,Brothies Beef Broth - 700ml,1
2021-05-26,Brothies Beef Broth - 700ml,1
2021-05-27,Brothies Beef Broth - 700ml,1
2021-05-28,Brothies Beef Broth - 700ml,3
2021-05-31,Brothies Beef Broth - 700ml,2
2021-06-07,Brothies Beef Broth - 700ml,3
2021-06-08,Brothies Beef Broth - 700ml,1
2021-06-10,Brothies Beef Broth - 700ml,1
2021-06-14,Brothies Beef Broth - 700ml,1
2021-06-16,Brothies Beef Broth - 700ml,1
2021-06-18,Brothies Beef Broth - 700ml,2
2021-06-24,Brothies Beef Broth - 700ml,4
2021-07-07,Brothies Beef Broth - 700ml,2
2021-07-09,Brothies Beef Broth - 700ml,3
2021-07-24,Brothies Beef Broth - 700ml,1
2021-07-28,Brothies Beef Broth - 700ml,7
2021-07-29,Brothies Beef Broth - 700ml,1
2021-08-02,Brothies Beef Broth - 700ml,3
2021-08-03,Brothies Beef Broth - 700ml,1
2021-08-12,Brothies Beef Broth - 700ml,6
2021-08-14,Brothies Beef Broth - 700ml,1
2021-08-20,Brothies Beef Broth - 700ml,5
2021-08-27,Brothies Beef Broth - 700ml,7
2021-09-01,Brothies Beef Broth - 700ml,1
2021-09-02,Brothies Beef Broth - 700ml,2
2021-09-03,Brothies Beef Broth - 700ml,2
2021-09-07,Brothies Beef Broth - 700ml,8
2021-09-10,Brothies Beef Broth - 700ml,1
2021-09-11,Brothies Beef Broth - 700ml,2
2021-09-14,Brothies Beef Broth - 700ml,1
2021-09-15,Brothies Beef Broth - 700ml,1
2021-09-17,Brothies Beef Broth - 700ml,6
2021-09-25,Brothies Beef Broth - 700ml,4
2021-09-30,Brothies Beef Broth - 700ml,1
2021-10-04,Brothies Beef Broth - 700ml,1
