Date,Product Name,Quantity
2019-06-18,Coconut Bowls (6 per pack),1
2019-06-19,Coconut Bowls (6 per pack),3
2019-06-20,Coconut Bowls (6 per pack),4
2019-06-23,Coconut Bowls (6 per pack),1
2019-06-25,Coconut Bowls (6 per pack),1
2019-07-03,Coconut Bowls (6 per pack),1
2019-07-05,Coconut Bowls (6 per pack),7
2019-07-28,Coconut Bowls (6 per pack),1
2019-08-12,Coconut Bowls (6 per pack),1
2019-08-13,Coconut Bowls (6 per pack),1
2019-08-18,Coconut Bowls (6 per pack),1
2019-08-21,Coconut Bowls (6 per pack),1
2019-08-29,Coconut Bowls (6 per pack),1
2019-08-31,Coconut Bowls (6 per pack),1
2019-09-02,Coconut Bowls (6 per pack),1
2019-09-06,Coconut Bowls (6 per pack),1
2019-09-07,Coconut Bowls (6 per pack),1
2019-09-08,Coconut Bowls (6 per pack),1
2019-09-09,Coconut Bowls (6 per pack),3
2019-09-25,Coconut Bowls (6 per pack),1
2019-09-30,Coconut Bowls (6 per pack),1
2019-10-03,Coconut Bowls (6 per pack),1
2019-10-18,Coconut Bowls (6 per pack),1
2019-10-19,Coconut Bowls (6 per pack),1
2019-10-29,Coconut Bowls (6 per pack),1
2019-11-03,Coconut Bowls (6 per pack),1
2019-11-06,Coconut Bowls (6 per pack),1
2019-11-12,Coconut Bowls (6 per pack),1
2019-11-13,Coconut Bowls (6 per pack),1
