Date,Product Name,Quantity
2022-09-07,Chateau Ste. Michelle Riesling,1
2022-09-17,Chateau Ste. Michelle Riesling,1
2022-10-02,Chateau Ste. Michelle Riesling,1
2022-10-09,Chateau Ste. Michelle Riesling,2
2022-11-01,Chateau Ste. Michelle Riesling,1
2022-11-12,Chateau Ste. Michelle Riesling,2
2023-01-30,Chateau Ste. Michelle Riesling,1
2023-05-12,Chateau Ste. Michelle Riesling 2020,1
2023-05-29,Chateau Ste. Michelle Riesling 2020,1
2023-06-05,Chateau Ste. Michelle Riesling 2020,1
2023-06-30,Chateau Ste. Michelle Riesling 2020,1
2023-07-19,Chateau Ste. Michelle Riesling 2020,1
2023-07-22,Chateau Ste. Michelle Riesling 2020,2
2023-08-08,"Chateau Ste. Michelle Riesling, 2020",1
2023-08-20,"Chateau Ste. Michelle Riesling, 2020",1
2023-08-24,"Chateau Ste. Michelle Riesling, 2020",1
2023-09-02,"Chateau Ste. Michelle Riesling, 2020",1
2023-11-06,"Chateau Ste. Michelle Riesling, 2020",1
2023-11-27,"Chateau Ste. Michelle Riesling, 2020",2
2023-12-07,"Chateau Ste. Michelle Riesling, 2020",1
2023-12-23,"Chateau Ste. Michelle Riesling, 2020",1
