Date,Product Name,Quantity
2024-06-14,CIL Long Grain Blended Rice - 2Kg,1
2024-06-22,CIL Long Grain Blended Rice - 2Kg,1
2024-06-28,CIL Long Grain Blended Rice - 2Kg,1
2024-06-29,CIL Long Grain Blended Rice - 2Kg,3
2024-07-04,CIL Long Grain Blended Rice - 2Kg,1
2024-07-14,CIL Long Grain Blended Rice - 2Kg,1
2024-07-28,CIL Long Grain Blended Rice - 2Kg,1
2024-07-31,CIL Long Grain Blended Rice - 2Kg,1
2024-08-01,CIL Long Grain Blended Rice - 2Kg,1
2024-08-02,CIL Long Grain Blended Rice - 2Kg,1
2024-08-05,CIL Long Grain Blended Rice - 2Kg,7
2024-08-06,CIL Long Grain Blended Rice - 2Kg,1
2024-08-07,CIL Long Grain Blended Rice - 2Kg,6
2024-08-12,CIL Long Grain Blended Rice - 2Kg,1
2024-08-13,CIL Long Grain Blended Rice - 2Kg,2
