Date,Product Name,Quantity
2024-06-20,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-06-22,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-06-24,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-06-28,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-06-29,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-01,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-04,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-07-08,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-07-10,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-14,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-16,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-07-19,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-22,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-24,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-25,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-07-27,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-28,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-07-29,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-07-30,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,3
2024-08-01,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-08-04,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-08-08,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-08-10,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-08-11,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,1
2024-08-12,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
2024-08-13,CIL Pure Mwea Aromatic Brown Pishori Rice - 1Kg,2
