Date,Product Name,Quantity
2022-07-11,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-07-17,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-07-30,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-08-07,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-08-22,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-09-19,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-09-24,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-09-28,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-10-11,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-10-20,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-10-24,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-10-29,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-11-14,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-11-15,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-12-07,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2022-12-22,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-01-04,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-01-13,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-01-17,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-02-03,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-02-08,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-02-13,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-03-22,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-03-23,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-03-31,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,2
2023-04-13,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-04-24,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-04-25,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,1
2023-04-26,Caroline's Cupcakes Pancakes and Waffles Mix - 435g,2
