Date,Product Name,Quantity
2024-06-23,Schweppes Bitter Lemon - 500ml,1
2024-06-26,Schweppes Bitter Lemon - 500ml,2
2024-06-28,Schweppes Bitter Lemon - 500ml,1
2024-07-02,Schweppes Bitter Lemon - 500ml,1
2024-07-07,Schweppes Bitter Lemon - 500ml,1
2024-07-16,Schweppes Bitter Lemon - 500ml,2
2024-07-22,Schweppes Bitter Lemon - 500ml,8
2024-07-27,Schweppes Bitter Lemon - 500ml,4
2024-07-29,Schweppes Bitter Lemon - 500ml,1
2024-07-30,Schweppes Bitter Lemon - 500ml,2
2024-08-02,Schweppes Bitter Lemon - 500ml,4
2024-08-03,Schweppes Bitter Lemon - 500ml,3
