Date,Product Name,Quantity
2024-06-08,Coca Cola PET Bottle - 2L,1
2024-06-19,Coca Cola PET Bottle - 2L,2
2024-06-26,Coca Cola PET Bottle - 2L,2
2024-06-28,Coca Cola PET Bottle - 2L,2
2024-06-29,Coca Cola PET Bottle - 2L,1
2024-07-01,Coca Cola PET Bottle - 2L,1
2024-07-12,Coca Cola PET Bottle - 2L,1
2024-07-20,Coca Cola PET Bottle - 2L,1
2024-07-25,Coca Cola PET Bottle - 2L,1
2024-07-29,Coca Cola PET Bottle - 2L,1
2024-07-30,Coca Cola PET Bottle - 2L,2
2024-08-09,Coca Cola PET Bottle - 2L,1
2024-08-10,Coca Cola PET Bottle - 2L,1
