Date,Product Name,Quantity
2022-10-23,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2022-10-30,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2022-11-02,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2022-11-17,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2022-12-05,Butler's Delight Mattar Paneer Samosas - 6 Pieces,2
2022-12-15,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2022-12-16,Butler's Delight Mattar Paneer Samosas - 6 Pieces,2
2023-02-07,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-02-14,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-02-19,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-02-20,Butler's Delight Mattar Paneer Samosas - 6 Pieces,2
2023-02-27,Butler's Delight Mattar Paneer Samosas - 6 Pieces,2
2023-03-01,Butler's Delight Mattar Paneer Samosas - 6 Pieces,2
2023-03-06,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-03-24,Butler's Delight Mattar Paneer Samosas - 6 Pieces,2
2023-04-06,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-05-18,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-05-25,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-06-15,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-06-26,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-07-12,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
2023-07-21,Butler's Delight Mattar Paneer Samosas - 6 Pieces,1
