Date,Product Name,Quantity
2022-06-27,Fry's Chicken-Style Burgers - 320g,1
2022-08-26,Fry's Chicken-Style Burgers - 320g,1
2022-10-03,Fry's Chicken-Style Burgers - 320g,1
2022-10-07,Fry's Chicken-Style Burgers - 320g,3
2022-10-09,Fry's Chicken-Style Burgers - 320g,1
2022-10-13,Fry's Chicken-Style Burgers - 320g,1
2022-10-16,Fry's Chicken-Style Burgers - 320g,1
2022-10-24,Fry's Chicken-Style Burgers - 320g,1
2022-10-25,Fry's Chicken-Style Burgers - 320g,1
2022-10-29,Fry's Chicken-Style Burgers - 320g,1
2022-10-31,Fry's Chicken-Style Burgers - 320g,1
2022-11-07,Fry's Chicken-Style Burgers - 320g,1
2022-11-08,Fry's Chicken-Style Burgers - 320g,1
2022-11-11,Fry's Chicken-Style Burgers - 320g,3
2022-11-12,Fry's Chicken-Style Burgers - 320g,1
2022-11-13,Fry's Chicken-Style Burgers - 320g,1
2022-11-14,Fry's Chicken-Style Burgers - 320g,1
2022-11-15,Fry's Chicken-Style Burgers - 320g,1
2022-11-17,Fry's Chicken-Style Burgers - 320g,2
2022-11-21,Fry's Chicken-Style Burgers - 320g,1
2022-11-23,Fry's Chicken-Style Burgers - 320g,1
2022-11-27,Fry's Chicken-Style Burgers - 320g,1
2022-11-30,Fry's Chicken-Style Burgers - 320g,2
2022-12-04,Fry's Chicken-Style Burgers - 320g,1
2022-12-06,Fry's Chicken-Style Burgers - 320g,1
2022-12-12,Fry's Chicken-Style Burgers - 320g,1
2022-12-13,Fry's Chicken-Style Burgers - 320g,1
2022-12-15,Fry's Chicken-Style Burgers - 320g,1
2022-12-19,Fry's Chicken-Style Burgers - 320g,1
2022-12-22,Fry's Chicken-Style Burgers - 320g,3
2023-01-02,Fry's Chicken-Style Burgers - 320g,2
2023-01-04,Fry's Chicken-Style Burgers - 320g,1
2023-01-06,Fry's Chicken-Style Burgers - 320g,1
2023-01-07,Fry's Chicken-Style Burgers - 320g,2
2023-01-11,Fry's Chicken-Style Burgers - 320g,1
2023-01-16,Fry's Chicken-Style Burgers - 320g,2
2023-01-23,Fry's Chicken-Style Burgers - 320g,2
2023-01-24,Fry's Chicken-Style Burgers - 320g,3
2023-01-26,Fry's Chicken-Style Burgers - 320g,1
2023-02-01,Fry's Chicken-Style Burgers - 320g,2
2023-02-02,Fry's Chicken-Style Burgers - 320g,1
2023-02-04,Fry's Chicken-Style Burgers - 320g,1
2023-02-06,Fry's Chicken-Style Burgers - 320g,6
2023-02-09,Fry's Chicken-Style Burgers - 320g,1
2023-02-14,Fry's Chicken-Style Burgers - 320g,1
2023-02-19,Fry's Chicken-Style Burgers - 320g,1
2023-02-21,Fry's Chicken-Style Burgers - 320g,1
2023-02-22,Fry's Chicken-Style Burgers - 320g,1
2023-02-23,Fry's Chicken-Style Burgers - 320g,1
2023-02-26,Fry's Chicken-Style Burgers - 320g,1
2023-02-27,Fry's Chicken-Style Burgers - 320g,1
2023-02-28,Fry's Chicken-Style Burgers - 320g,3
2023-03-03,Fry's Chicken-Style Burgers - 320g,1
2023-03-04,Fry's Chicken-Style Burgers - 320g,1
2023-03-12,Fry's Chicken-Style Burgers - 320g,1
2023-03-13,Fry's Chicken-Style Burgers - 320g,6
2023-03-15,Fry's Chicken-Style Burgers - 320g,2
2023-03-19,Fry's Chicken-Style Burgers - 320g,3
2023-03-28,Fry's Chicken-Style Burgers - 320g,1
2023-04-01,Fry's Chicken-Style Burgers - 320g,3
2023-04-02,Fry's Chicken-Style Burgers - 320g,1
2023-04-03,Fry's Chicken-Style Burgers - 320g,1
2023-04-11,Fry's Chicken-Style Burgers - 320g,1
2023-04-12,Fry's Chicken-Style Burgers - 320g,1
2023-04-13,Fry's Chicken-Style Burgers - 320g,2
