Date,Product Name,Quantity
2024-07-15,Emborg UHT Cooking Cream - 200ml,1
2024-07-16,Emborg UHT Cooking Cream - 200ml,2
2024-07-18,Emborg UHT Cooking Cream - 200ml,2
2024-07-19,Emborg UHT Cooking Cream - 200ml,1
2024-07-21,Emborg UHT Cooking Cream - 200ml,5
2024-07-22,Emborg UHT Cooking Cream - 200ml,3
2024-07-23,Emborg UHT Cooking Cream - 200ml,3
2024-07-24,Emborg UHT Cooking Cream - 200ml,1
2024-07-28,Emborg UHT Cooking Cream - 200ml,2
2024-07-30,Emborg UHT Cooking Cream - 200ml,3
2024-08-01,Emborg UHT Cooking Cream - 200ml,1
2024-08-12,Emborg UHT Cooking Cream - 200ml,8
2024-08-13,Emborg UHT Cooking Cream - 200ml,3
