Date,Product Name,Quantity
2022-10-12,Greens Fruits of the Forest Berry Mix - 450g,2
2022-10-13,Greens Fruits of the Forest Berry Mix - 450g,2
2022-10-15,Greens Fruits of the Forest Berry Mix - 450g,2
2022-10-16,Greens Fruits of the Forest Berry Mix - 450g,2
2022-10-18,Greens Fruits of the Forest Berry Mix - 450g,1
2022-10-19,Greens Fruits of the Forest Berry Mix - 450g,1
2022-10-20,Greens Fruits of the Forest Berry Mix - 450g,2
2022-10-21,Greens Fruits of the Forest Berry Mix - 450g,3
2022-10-22,Greens Fruits of the Forest Berry Mix - 450g,1
2022-10-23,Greens Fruits of the Forest Berry Mix - 450g,3
2022-10-24,Greens Fruits of the Forest Berry Mix - 450g,6
2022-10-25,Greens Fruits of the Forest Berry Mix - 450g,1
2022-10-27,Greens Fruits of the Forest Berry Mix - 450g,1
2022-10-28,Greens Fruits of the Forest Berry Mix - 450g,1
2022-10-29,Greens Fruits of the Forest Berry Mix - 450g,3
2022-10-31,Greens Fruits of the Forest Berry Mix - 450g,2
2022-11-01,Greens Fruits of the Forest Berry Mix - 450g,3
2022-11-02,Greens Fruits of the Forest Berry Mix - 450g,2
2022-11-04,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-05,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-06,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-11,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-14,Greens Fruits of the Forest Berry Mix - 450g,3
2022-11-16,Greens Fruits of the Forest Berry Mix - 450g,2
2022-11-17,Greens Fruits of the Forest Berry Mix - 450g,3
2022-11-18,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-20,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-21,Greens Fruits of the Forest Berry Mix - 450g,3
2022-11-23,Greens Fruits of the Forest Berry Mix - 450g,2
2022-11-24,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-27,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-28,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-29,Greens Fruits of the Forest Berry Mix - 450g,1
2022-11-30,Greens Fruits of the Forest Berry Mix - 450g,3
2022-12-01,Greens Fruits of the Forest Berry Mix - 450g,2
2022-12-02,Greens Fruits of the Forest Berry Mix - 450g,1
2022-12-03,Greens Fruits of the Forest Berry Mix - 450g,1
2022-12-04,Greens Fruits of the Forest Berry Mix - 450g,3
2022-12-05,Greens Fruits of the Forest Berry Mix - 450g,3
2022-12-07,Greens Fruits of the Forest Berry Mix - 450g,3
2022-12-08,Greens Fruits of the Forest Berry Mix - 450g,3
2022-12-13,Greens Fruits of the Forest Berry Mix - 450g,2
2022-12-14,Greens Fruits of the Forest Berry Mix - 450g,2
2022-12-16,Greens Fruits of the Forest Berry Mix - 450g,1
2022-12-19,Greens Fruits of the Forest Berry Mix - 450g,1
2022-12-20,Greens Fruits of the Forest Berry Mix - 450g,3
2023-10-19,Greens Fruits of the Forest - 450g,1
2023-10-19,Greens Fruits of the Forest Berry Mix - 450g,1
2023-10-20,Greens Fruits of the Forest - 450g,1
2023-10-22,Greens Fruits of the Forest - 450g,3
2023-10-23,Greens Fruits of the Forest - 450g,1
2023-10-25,Greens Fruits of the Forest - 450g,2
2023-10-27,Greens Fruits of the Forest - 450g,1
2023-10-28,Greens Fruits of the Forest - 450g,5
2023-10-30,Greens Fruits of the Forest - 450g,3
2023-10-31,Greens Fruits of the Forest - 450g,1
2023-11-01,Greens Fruits of the Forest - 450g,1
2023-11-03,Greens Fruits of the Forest - 450g,1
