Date,Product Name,Quantity
2024-06-24,Adriana Raw Large Shrimps - 400g,1
2024-06-25,Adriana Raw Large Shrimps - 400g,1
2024-06-28,Adriana Raw Large Shrimps - 400g,1
2024-06-30,Adriana Raw Large Shrimps - 400g,1
2024-07-10,Adriana Raw Large Shrimps - 400g,1
2024-07-12,Adriana Raw Large Shrimps - 400g,1
2024-07-29,Adriana Raw Large Shrimps - 400g,1
2024-08-01,Adriana Raw Large Shrimps - 400g,1
2024-08-02,Adriana Raw Large Shrimps - 400g,1
2024-08-03,Adriana Raw Large Shrimps - 400g,1
2024-08-05,Adriana Raw Large Shrimps - 400g,1
2024-08-07,Adriana Raw Large Shrimps - 400g,2
2024-08-09,Adriana Raw Large Shrimps - 400g,1
