Date,Product Name,Quantity
2022-02-21,Cinnabar Green Bubble Bath - 200ml,6
2022-02-24,Cinnabar Green Bubble Bath - 200ml,2
2022-02-28,Cinnabar Green Bubble Bath - 200ml,2
2022-03-06,Cinnabar Green Bubble Bath - 200ml,1
2022-03-08,Cinnabar Green Bubble Bath - 200ml,2
2022-03-10,Cinnabar Green Bubble Bath - 200ml,2
2022-03-11,Cinnabar Green Bubble Bath - 200ml,1
2022-03-18,Cinnabar Green Bubble Bath - 200ml,2
2022-03-21,Cinnabar Green Bubble Bath - 200ml,1
2022-03-26,Cinnabar Green Bubble Bath - 200ml,1
2022-04-07,Cinnabar Green Bubble Bath - 200ml,2
2022-04-08,Cinnabar Green Bubble Bath - 200ml,1
2022-04-16,Cinnabar Green Bubble Bath - 200ml,1
2022-04-20,Cinnabar Green Bubble Bath - 200ml,2
2022-05-01,Cinnabar Green Bubble Bath - 200ml,1
2022-05-03,Cinnabar Green Bubble Bath - 200ml,1
2022-05-04,Cinnabar Green Bubble Bath - 200ml,3
2022-05-09,Cinnabar Green Bubble Bath - 200ml,2
2022-05-13,Cinnabar Green Bubble Bath - 200ml,2
2022-05-15,Cinnabar Green Bubble Bath - 200ml,1
2022-05-17,Cinnabar Green Bubble Bath - 200ml,1
2022-05-18,Cinnabar Green Bubble Bath - 200ml,2
2022-05-22,Cinnabar Green Bubble Bath - 200ml,1
2022-05-25,Cinnabar Green Bubble Bath - 200ml,1
2022-05-27,Cinnabar Green Bubble Bath - 200ml,1
2022-06-03,Cinnabar Green Bubble Bath - 200ml,1
2022-06-06,Cinnabar Green Bubble Bath - 200ml,1
2022-06-07,Cinnabar Green Bubble Bath - 200ml,2
2022-06-14,Cinnabar Green Bubble Bath - 200ml,1
2022-06-21,Cinnabar Green Bubble Bath - 200ml,1
2022-06-28,Cinnabar Green Bubble Bath - 200ml,1
2022-07-03,Cinnabar Green Bubble Bath - 200ml,1
2022-07-04,Cinnabar Green Bubble Bath - 200ml,1
2022-07-05,Cinnabar Green Bubble Bath - 200ml,1
