Date,Product Name,Quantity
2022-06-23,Cinnabar Green Revive Face Mask,1
2022-09-13,Cinnabar Green Revive Face Mask,1
2022-09-28,Cinnabar Green Revive Face Mask,1
2022-10-13,Cinnabar Green Revive Face Mask,1
2022-11-13,Cinnabar Green Revive Face Mask,1
2022-11-14,Cinnabar Green Revive Face Mask,1
2022-11-15,Cinnabar Green Revive Face Mask,1
2022-12-05,Cinnabar Green Revive Face Mask,2
2023-01-31,Cinnabar Green Revive Face Mask,1
2023-02-21,Cinnabar Green Revive Face Mask,1
2023-03-21,Cinnabar Green Revive Face Mask,1
2023-03-24,Cinnabar Green Revive Face Mask,1
2023-04-09,Cinnabar Green Revive Face Mask,1
2023-04-11,Cinnabar Green Revive Face Mask,1
2023-05-13,Cinnabar Green Revive Face Mask,1
2023-06-29,Cinnabar Green Revive Face Mask,1
2023-06-30,Cinnabar Green Revive Face Mask,1
2023-07-25,Cinnabar Green Revive Face Mask,1
2023-08-04,Cinnabar Green Revive Face Mask,1
2023-08-07,Cinnabar Green Revive Face Mask,1
2023-09-16,Cinnabar Green Revive Face Mask,1
2023-09-27,Cinnabar Green Revive Face Mask,1
2023-10-30,Cinnabar Green Revive Face Mask,1
2023-11-27,Cinnabar Green Revive Face Mask,1
2023-12-22,Cinnabar Green Revive Face Mask,1
2024-01-07,Cinnabar Green Revive Face Mask,1
2024-01-10,Cinnabar Green Revive Face Mask,1
2024-02-07,Cinnabar Green Revive Face Mask,1
2024-03-01,Cinnabar Green Revive Face Mask,1
2024-03-13,Cinnabar Green Revive Face Mask,1
2024-03-16,Cinnabar Green Revive Face Mask,1
2024-03-19,Cinnabar Green Revive Face Mask,1
2024-05-10,Cinnabar Green Revive Face Mask,1
2024-05-12,Cinnabar Green Revive Face Mask,1
2024-05-16,Cinnabar Green Revive Face Mask,1
2024-05-29,Cinnabar Green Revive Face Mask,2
2024-06-04,Cinnabar Green Revive Face Mask,1
2024-08-05,Cinnabar Green Revive Face Mask,1
