Date,Product Name,Quantity
2023-08-16,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2023-08-19,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2023-08-21,Cinnabar Green Soaps - 100g - Avocado & Lemon,5
2023-08-24,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-08-26,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-08-29,Cinnabar Green Soaps - 100g - Avocado & Lemon,6
2023-09-02,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-03,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-06,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-07,Cinnabar Green Soaps - 100g - Avocado & Lemon,5
2023-09-09,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-10,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-09-11,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-13,Cinnabar Green Soaps - 100g - Avocado & Lemon,9
2023-09-14,Cinnabar Green Soaps - 100g - Avocado & Lemon,4
2023-09-20,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-21,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-23,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-09-25,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-09-26,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-09-27,Cinnabar Green Soaps - 100g - Avocado & Lemon,4
2023-09-28,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-10-01,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-10-05,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-10-06,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-10-07,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2023-10-12,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-10-14,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-10-17,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-10-18,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2023-10-22,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-10-26,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-10-27,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-10-28,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-10-31,Cinnabar Green Soaps - 100g - Avocado & Lemon,4
2023-11-02,Cinnabar Green Soaps - 100g - Avocado & Lemon,8
2023-11-03,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-11-05,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-11-08,Cinnabar Green Soaps - 100g - Avocado & Lemon,7
2023-11-11,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-11-12,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-11-13,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-11-16,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-11-17,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-11-18,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2023-11-21,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-11-23,Cinnabar Green Soaps - 100g - Avocado & Lemon,4
2023-11-24,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-11-25,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-11-26,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-11-29,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-05,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-06,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-12-09,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-10,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-11,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-12,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2023-12-13,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-14,Cinnabar Green Soaps - 100g - Avocado & Lemon,5
2023-12-16,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-18,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2023-12-19,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2023-12-29,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2023-12-31,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-01,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-04,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-05,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-01-06,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-08,Cinnabar Green Soaps - 100g - Avocado & Lemon,8
2024-01-09,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-10,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2024-01-11,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-23,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-24,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-01-25,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-01-27,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-02-05,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-02-09,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2024-02-12,Cinnabar Green Soaps - 100g - Avocado & Lemon,8
2024-02-13,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2024-02-15,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-02-19,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-02-20,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-02-22,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2024-02-23,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-02-28,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-03-05,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-03-08,Cinnabar Green Soaps - 100g - Avocado & Lemon,4
2024-03-10,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2024-03-11,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-03-12,Cinnabar Green Soaps - 100g - Avocado & Lemon,2
2024-03-14,Cinnabar Green Soaps - 100g - Avocado & Lemon,4
2024-03-18,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-03-19,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-03-21,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-03-22,Cinnabar Green Soaps - 100g - Avocado & Lemon,1
2024-03-26,Cinnabar Green Soaps - 100g - Avocado & Lemon,3
2024-03-27,Cinnabar Green Soaps - 100g - Avocado & Lemon,5
