Date,Product Name,Quantity
2022-06-02,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-04,Chayil Frozen Boiled Green Peas - 500g,2
2022-06-06,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-07,Chayil Frozen Boiled Green Peas - 500g,2
2022-06-09,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-11,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-12,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-13,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-15,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-20,Chayil Frozen Boiled Green Peas - 500g,2
2022-06-21,Chayil Frozen Boiled Green Peas - 500g,1
2022-06-26,Chayil Frozen Boiled Green Peas - 500g,1
2022-07-05,Chayil Frozen Boiled Green Peas - 500g,1
2022-07-07,Chayil Frozen Boiled Green Peas - 500g,2
2022-07-16,Chayil Frozen Boiled Green Peas - 500g,1
2022-07-21,Chayil Frozen Boiled Green Peas - 500g,1
2022-07-26,Chayil Frozen Boiled Green Peas - 500g,1
2022-07-28,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-01,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-03,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-04,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-07,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-08,Chayil Frozen Boiled Green Peas - 500g,2
2022-08-09,Chayil Frozen Boiled Green Peas - 500g,2
2022-08-11,Chayil Frozen Boiled Green Peas - 500g,2
2022-08-16,Chayil Frozen Boiled Green Peas - 500g,2
2022-08-17,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-19,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-21,Chayil Frozen Boiled Green Peas - 500g,1
2022-08-22,Chayil Frozen Boiled Green Peas - 500g,2
2022-09-01,Chayil Frozen Boiled Green Peas - 500g,1
2022-09-03,Chayil Frozen Boiled Green Peas - 500g,1
2022-09-06,Chayil Frozen Boiled Green Peas - 500g,3
2022-09-09,Chayil Frozen Boiled Green Peas - 500g,4
2022-09-12,Chayil Frozen Boiled Green Peas - 500g,1
2022-09-17,Chayil Frozen Boiled Green Peas - 500g,1
2022-09-18,Chayil Frozen Boiled Green Peas - 500g,1
2022-09-26,Chayil Frozen Boiled Green Peas - 500g,1
2022-09-29,Chayil Frozen Boiled Green Peas - 500g,1
2022-10-02,Chayil Frozen Boiled Green Peas - 500g,1
