Date,Product Name,Quantity
2022-06-22,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-06-27,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-07-07,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,3
2022-07-14,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-07-16,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-07-24,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-07-25,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-08-03,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-08-10,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,2
2022-08-18,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,2
2022-08-26,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-08-30,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-09-02,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-09-08,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-09-12,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,2
2022-09-13,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-09-19,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-09-23,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-09-27,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,2
2022-09-29,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-10-03,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-10-05,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-10-07,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-10-10,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-10-11,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,2
2022-10-20,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-10-31,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-11-16,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-12-04,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,2
2022-12-07,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2022-12-28,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,2
2023-01-06,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2023-01-15,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2023-01-28,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2023-02-06,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
2023-02-11,Chayil Frozen Preboiled Sagaa (African Cabbage) - 500g,1
