Date,Product Name,Quantity
2022-06-07,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-06-08,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-06-09,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-06-12,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-06-13,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-06-14,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-06-15,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-06-22,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-06-23,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-06-24,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-06-27,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-07-01,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-07-02,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-07-04,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-07-05,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-07-14,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-07-18,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,3
2022-07-28,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-01,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-08-02,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-05,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,5
2022-08-06,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-08,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-11,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-13,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-14,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-15,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-08-19,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-08-20,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-08-25,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-08-27,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-02,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-09-03,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-09,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-11,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-12,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-13,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-20,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-22,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-26,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-27,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-09-30,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-01,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-03,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-07,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-08,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-09,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-12,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-14,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-18,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-10-21,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-23,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-25,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-10-31,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-11-01,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-11-02,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-11-03,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-11-13,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-11-15,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2022-11-16,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-11-18,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-11-26,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-12-05,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-12-06,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,4
2022-12-08,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-12-10,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-12-13,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2022-12-15,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,4
2023-01-05,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2023-01-09,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-01-11,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2023-01-23,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-02-01,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-02-02,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2023-02-09,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-02-11,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-02-14,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,7
2023-02-18,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-02-20,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-02-26,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-02-27,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-04,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-06,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-13,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-15,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-17,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-21,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-27,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-03-29,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-04-09,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-04-15,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,3
2023-05-31,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2023-06-06,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-06-11,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-06-20,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-06-24,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2023-07-01,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,2
2023-07-03,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-07-06,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-07-26,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
2023-07-28,Chayil Frozen Chicken Spring Rolls - Pack of 10 Pieces,1
