Date,Product Name,Quantity
2023-08-25,Safrina Saffron Fillaments - 1g,1
2023-08-30,Safrina Saffron Fillaments - 1g,1
2023-09-25,Safrina Saffron Fillaments - 1g,1
2023-10-05,Safrina Saffron Fillaments - 1g,2
2023-10-10,Safrina Saffron Fillaments - 1g,1
2023-10-11,Safrina Saffron Fillaments - 1g,2
2023-10-15,Safrina Saffron Fillaments - 1g,1
2023-10-20,Safrina Saffron Fillaments - 1g,1
2023-10-31,Safrina Saffron Fillaments - 1g,1
2023-11-23,Safrina Saffron Fillaments - 1g,1
2023-11-27,Safrina Saffron Fillaments - 1g,1
2023-11-30,Safrina Saffron Fillaments - 1g,2
2023-12-14,Safrina Saffron Fillaments - 1g,1
2023-12-16,Safrina Saffron Fillaments - 1g,1
2024-01-06,Safrina Saffron Fillaments - 1g,1
2024-01-09,Safrina Saffron Fillaments - 1g,1
2024-01-14,Safrina Saffron Fillaments - 1g,1
2024-01-17,Safrina Saffron Fillaments - 1g,1
2024-05-22,Safrina Saffron Fillaments - 1g,1
2024-05-23,Safrina Saffron Fillaments - 1g,1
2024-05-27,Safrina Saffron Fillaments - 1g,2
2024-06-01,Safrina Saffron Fillaments - 1g,1
2024-06-08,Safrina Saffron Fillaments - 1g,1
2024-06-18,Safrina Saffron Fillaments - 1g,2
2024-06-19,Safrina Saffron Fillaments - 1g,1
2024-06-24,Safrina Saffron Fillaments - 1g,1
2024-06-26,Safrina Saffron Fillaments - 1g,1
2024-06-28,Safrina Saffron Fillaments - 1g,1
2024-08-04,Safrina Saffron Fillaments - 1g,1
