Date,Product Name,Quantity
2023-04-08,Cherubet Food Wairimu Beans -1Kg,1
2023-04-21,Cherubet Food Wairimu Beans -1Kg,1
2023-04-24,Cherubet Food Wairimu Beans -1Kg,1
2023-05-04,Cherubet Food Wairimu Beans -1Kg,2
2023-05-17,Cherubet Food Wairimu Beans -1Kg,1
2023-06-07,Cherubet Food Wairimu Beans -1Kg,1
2023-06-08,Cherubet Food Wairimu Beans -1Kg,1
2023-06-14,Cherubet Food Wairimu Beans -1Kg,2
2023-07-03,Cherubet Food Wairimu Beans -1Kg,1
2023-07-11,Cherubet Food Wairimu Beans -1Kg,1
2023-07-18,Cherubet Food Wairimu Beans -1Kg,1
2023-07-25,Cherubet Food Wairimu Beans -1Kg,1
2023-07-26,Cherubet Food Wairimu Beans -1Kg,1
2023-08-06,Cherubet Food Wairimu Beans -1Kg,1
2023-08-10,Cherubet Food Wairimu Beans -1Kg,1
2023-08-12,Cherubet Food Wairimu Beans -1Kg,1
2023-08-14,Cherubet Food Wairimu Beans -1Kg,1
2023-08-24,Cherubet Food Wairimu Beans -1Kg,1
2023-08-28,Cherubet Food Wairimu Beans -1Kg,1
2023-09-10,Cherubet Food Wairimu Beans -1Kg,1
2023-09-29,Cherubet Food Wairimu Beans -1Kg,2
2023-10-14,Cherubet Food Wairimu Beans -1Kg,1
2023-10-17,Cherubet Food Wairimu Beans -1Kg,1
2023-10-29,Cherubet Food Wairimu Beans -1Kg,2
2023-10-30,Cherubet Food Wairimu Beans -1Kg,1
2023-10-31,Cherubet Food Wairimu Beans -1Kg,2
2023-11-11,Cherubet Food Wairimu Beans -1Kg,2
