Date,Product Name,Quantity
2020-04-05,Café Matz Shade Grown Community Coffee - 500g / Ground,1
2020-04-09,Café Matz Shade Grown Community Coffee - 500g / Ground,2
2021-02-17,Café Matz Shade Grown Community Coffee - 500g / Ground,1
2021-03-26,Café Matz Shade Grown Community Coffee - 500g / Ground,1
2022-02-18,Café Matz Mount Elgon Premium (AA/AB) Coffee,1
2022-02-18,Café Matz Mount Elgon Premium (AA/AB) Coffee  - Value Pack 500g,1
2022-03-05,Café Matz Mount Elgon Premium (AA/AB) Coffee  - Value Pack 500g,1
2022-03-09,Café Matz Mount Elgon Premium (AA/AB) Coffee,1
2022-04-23,Café Matz Mount Elgon Premium (AA/AB) Coffee,1
2022-05-02,Café Matz Mount Elgon Premium (AA/AB) Coffee,1
2022-05-24,Café Matz Mount Elgon Premium (AA/AB) Coffee,1
2022-05-26,Café Matz Mount Elgon Premium (AA/AB) Coffee,1
2022-05-30,Café Matz Mount Elgon Premium (AA/AB) Coffee,3
2022-06-06,Café Matz Mount Elgon Premium (AA/AB) Coffee,1
2022-07-25,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,1
2022-08-01,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,2
2022-08-09,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,1
2022-12-17,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,3
2022-12-21,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,1
2023-01-21,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,1
2023-01-24,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,1
2023-05-01,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,1
2023-05-21,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,2
2023-05-22,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,2
2023-06-14,Café Matz Mount Elgon Premium (AA/AB) Coffee - Medium Roast Ground 500g,1
