Date,Product Name,Quantity
2023-09-13,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2023-09-14,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2023-09-24,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2023-09-30,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2023-10-05,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2023-10-20,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2023-12-01,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2023-12-22,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-01-14,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-01-25,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-02-12,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-02-17,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-02-29,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-03-07,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,3
2024-03-25,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-04-15,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-05-13,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-05-20,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-05-29,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-06-02,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-07-23,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-07-29,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
2024-08-04,Café Matz Medium Roast Mt. Elgon Premium Gourmet Coffee - Medium Roast Ground 500g,1
