Date,Product Name,Quantity
2022-06-25,Colgate Herbal - 140g,1
2022-06-28,Colgate Herbal - 140g,2
2022-06-29,Colgate Herbal - 140g,1
2022-07-04,Colgate Herbal - 140g,1
2022-08-01,Colgate Herbal - 140g,1
2022-08-26,Colgate Herbal Toothpaste - 140g,2
2022-09-10,Colgate Herbal Toothpaste - 140g,1
2022-09-19,Colgate Herbal Toothpaste - 140g,1
2022-09-23,Colgate Herbal Toothpaste - 140g,3
2022-09-26,Colgate Herbal Toothpaste - 140g,1
2022-09-27,Colgate Herbal Toothpaste - 140g,1
2022-11-05,Colgate Herbal Toothpaste - 140g,2
2022-11-28,Colgate Herbal Toothpaste - 140g,1
2022-11-30,Colgate Herbal Toothpaste - 140g,1
2022-12-06,Colgate Herbal Toothpaste - 140g,2
2022-12-12,Colgate Herbal Toothpaste - 140g,4
2022-12-15,Colgate Herbal Toothpaste - 140g,1
2022-12-16,Colgate Herbal Toothpaste - 140g,4
2022-12-17,Colgate Herbal Toothpaste - 140g,5
2022-12-18,Colgate Herbal Toothpaste - 140g,2
2022-12-21,Colgate Herbal Toothpaste - 140g,1
2023-01-02,Colgate Herbal Toothpaste - 140g,3
2023-01-07,Colgate Herbal Toothpaste - 140g,1
2023-01-12,Colgate Herbal Toothpaste - 140g,2
2023-01-31,Colgate Herbal Toothpaste - 140g,3
2023-02-11,Colgate Herbal Toothpaste - 140g,2
2023-02-17,Colgate Herbal Toothpaste - 140g,1
2023-02-24,Colgate Herbal Toothpaste - 140g,1
2023-03-03,Colgate Herbal Toothpaste - 140g,1
2023-03-07,Colgate Herbal Toothpaste - 140g,4
2023-04-12,Colgate Herbal Toothpaste - 140g,1
2023-04-16,Colgate Herbal Toothpaste - 140g,3
2023-05-01,Colgate Herbal Toothpaste - 140g,1
2023-05-19,Colgate Herbal Toothpaste - 140g,1
2023-05-25,Colgate Herbal Toothpaste - 140g,1
2023-05-26,Colgate Herbal Toothpaste - 140g,1
2023-05-28,Colgate Herbal Toothpaste - 140g,1
2023-05-30,Colgate Herbal Toothpaste - 140g,4
2023-06-11,Colgate Herbal Toothpaste - 140g,1
2023-06-26,Colgate Herbal Toothpaste - 140g,1
2023-07-01,Colgate Herbal Toothpaste - 140g,1
2023-07-06,Colgate Herbal Toothpaste - 140g,1
2023-07-17,Colgate Herbal Toothpaste - 140g,1
2023-07-31,Colgate Herbal Toothpaste - 140g,1
2023-08-01,Colgate Herbal Toothpaste - 140g,2
2023-08-08,Colgate Herbal Toothpaste - 140g,1
2023-08-09,Colgate Herbal Toothpaste - 140g,1
2023-08-23,Colgate Herbal Toothpaste - 140g,1
2023-08-28,Colgate Herbal Toothpaste - 140g,1
2023-09-04,Colgate Herbal Toothpaste - 140g,1
2023-09-12,Colgate Herbal Toothpaste - 140g,1
2023-09-17,Colgate Herbal Toothpaste - 140g,1
2023-09-19,Colgate Herbal Toothpaste - 140g,1
2023-10-05,Colgate Herbal Toothpaste - 140g,1
2023-10-14,Colgate Herbal Toothpaste - 140g,1
2023-10-21,Colgate Herbal Toothpaste - 140g,3
2023-10-22,Colgate Herbal Toothpaste - 140g,2
2023-11-07,Colgate Herbal Toothpaste - 140g,1
2023-12-05,Colgate Herbal Toothpaste - 140g,2
2023-12-07,Colgate Herbal Toothpaste - 140g,2
2023-12-10,Colgate Herbal Toothpaste - 140g,1
2023-12-13,Colgate Herbal Toothpaste - 140g,1
2023-12-14,Colgate Herbal Toothpaste - 140g,1
2023-12-15,Colgate Herbal Toothpaste - 140g,2
2023-12-17,Colgate Herbal Toothpaste - 140g,2
2023-12-22,Colgate Herbal Toothpaste - 140g,1
2024-01-16,Colgate Herbal Toothpaste - 140g,1
2024-01-19,Colgate Herbal Toothpaste - 140g,1
2024-01-20,Colgate Herbal Toothpaste - 140g,1
2024-01-27,Colgate Herbal Toothpaste - 140g,1
2024-02-04,Colgate Herbal Toothpaste - 140g,1
2024-02-13,Colgate Herbal Toothpaste - 140g,1
2024-02-16,Colgate Herbal Toothpaste - 140g,1
2024-02-18,Colgate Herbal Toothpaste - 140g,1
2024-02-22,Colgate Herbal Toothpaste - 140g,1
2024-02-26,Colgate Herbal Toothpaste - 140g,1
2024-03-03,Colgate Herbal Toothpaste - 140g,1
2024-03-04,Colgate Herbal Toothpaste - 140g,1
2024-03-16,Colgate Herbal Toothpaste - 140g,1
2024-03-18,Colgate Herbal Toothpaste - 140g,1
2024-03-19,Colgate Herbal Toothpaste - 140g,2
2024-03-24,Colgate Herbal Toothpaste - 140g,1
2024-03-27,Colgate Herbal Toothpaste - 140g,1
2024-04-01,Colgate Herbal Toothpaste - 140g,2
2024-04-02,Colgate Herbal Toothpaste - 140g,1
2024-04-12,Colgate Herbal Toothpaste - 140g,2
2024-04-26,Colgate Herbal Toothpaste - 140g,2
2024-05-02,Colgate Herbal Toothpaste - 140g,1
2024-05-03,Colgate Herbal Toothpaste - 140g,1
2024-05-06,Colgate Herbal Toothpaste - 140g,1
2024-05-10,Colgate Herbal Toothpaste - 140g,2
2024-05-13,Colgate Herbal Toothpaste - 140g,2
2024-06-22,Colgate Herbal Toothpaste - 140g,1
2024-06-29,Colgate Herbal Toothpaste - 140g,2
2024-07-01,Colgate Herbal Toothpaste - 140g,6
2024-07-02,Colgate Herbal Toothpaste - 140g,1
2024-07-04,Colgate Herbal Toothpaste - 140g,2
