Date,Product Name,Quantity
2024-07-10,Kentaste Coconut Cream - 250ml,7
2024-07-13,Kentaste Coconut Cream - 250ml,11
2024-07-15,Kentaste Coconut Cream - 250ml,3
2024-07-16,Kentaste Coconut Cream - 250ml,4
2024-07-17,Kentaste Coconut Cream - 250ml,3
2024-07-18,Kentaste Coconut Cream - 250ml,4
2024-07-19,Kentaste Coconut Cream - 250ml,5
2024-07-22,Kentaste Coconut Cream - 250ml,1
2024-07-23,Kentaste Coconut Cream - 250ml,1
2024-07-25,Kentaste Coconut Cream - 250ml,4
2024-07-27,Kentaste Coconut Cream - 250ml,6
2024-07-28,Kentaste Coconut Cream - 250ml,1
2024-07-29,Kentaste Coconut Cream - 250ml,2
2024-07-30,Kentaste Coconut Cream - 250ml,3
2024-07-31,Kentaste Coconut Cream - 250ml,4
2024-08-01,Kentaste Coconut Cream - 250ml,2
2024-08-02,Kentaste Coconut Cream - 250ml,1
2024-08-04,Kentaste Coconut Cream - 250ml,1
2024-08-05,Kentaste Coconut Cream - 250ml,2
2024-08-07,Kentaste Coconut Cream - 250ml,5
2024-08-08,Kentaste Coconut Cream - 250ml,1
2024-08-10,Kentaste Coconut Cream - 250ml,1
2024-08-11,Kentaste Coconut Cream - 250ml,1
2024-08-12,Kentaste Coconut Cream - 250ml,5
2024-08-13,Kentaste Coconut Cream - 250ml,1
