Date,Product Name,Quantity
2023-07-28,Nivea Women Fresh Energy Roll On - 50ml,1
2023-08-09,Nivea Women Fresh Energy Roll On - 50ml,1
2023-08-21,Nivea Women Fresh Energy Roll On - 50ml,1
2023-08-26,Nivea Women Fresh Energy Roll On - 50ml,1
2023-08-30,Nivea Women Fresh Energy Roll On - 50ml,1
2023-09-18,Nivea Women Fresh Energy Roll On - 50ml,1
2023-10-16,Nivea Women Fresh Energy Roll On - 50ml,1
2023-10-30,Nivea Women Fresh Energy Roll On - 50ml,1
2023-11-09,Nivea Women Fresh Energy Roll On - 50ml,2
2023-11-10,Nivea Women Fresh Energy Roll On - 50ml,1
2023-11-16,Nivea Women Fresh Energy Roll On - 50ml,1
