Date,Product Name,Quantity
2023-07-04,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-09-15,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-09-19,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-09-22,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-10-14,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-10-23,Nivea Women Pearl & Beauty Roll On - 50ml,2
2023-11-13,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-11-29,Nivea Women Pearl & Beauty Roll On - 50ml,2
2023-12-04,Nivea Women Pearl & Beauty Roll On - 50ml,2
2023-12-17,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-12-20,Nivea Women Pearl & Beauty Roll On - 50ml,1
2023-12-28,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-01-12,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-01-21,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-01-30,Nivea Women Pearl & Beauty Roll On - 50ml,2
2024-01-31,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-02-01,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-02-08,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-02-12,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-02-27,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-02-28,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-03-22,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-03-25,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-03-29,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-04-11,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-04-19,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-04-20,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-04-22,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-04-29,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-05-20,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-06-07,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-06-23,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-06-24,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-06-28,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-06-29,Nivea Women Pearl & Beauty Roll On - 50ml,2
2024-07-01,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-07-08,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-07-09,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-07-14,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-07-22,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-08-04,Nivea Women Pearl & Beauty Roll On - 50ml,1
2024-08-12,Nivea Women Pearl & Beauty Roll On - 50ml,1
