Date,Product Name,Quantity
2023-08-29,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2023-09-21,Velvex Premium Facial Tissues - 80 Sheets Silver,3
2023-09-30,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2023-10-04,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2023-10-29,Velvex Premium Facial Tissues - 80 Sheets Silver,3
2023-12-05,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2023-12-14,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2024-01-01,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-01-02,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2024-01-04,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-01-05,Velvex Premium Facial Tissues - 80 Sheets Silver,4
2024-01-06,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-01-10,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-02-02,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-02-14,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-02-16,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-02-19,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-03-07,Velvex Premium Facial Tissues - 80 Sheets Silver,5
2024-03-11,Velvex Premium Facial Tissues - 80 Sheets Silver,3
2024-03-29,Velvex Premium Facial Tissues - 80 Sheets Silver,3
2024-05-07,Velvex Premium Facial Tissues - 80 Sheets Silver,5
2024-05-28,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-06-08,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2024-06-10,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2024-06-17,Velvex Premium Facial Tissues - 80 Sheets Silver,1
2024-07-19,Velvex Premium Facial Tissues - 80 Sheets Silver,2
2024-08-06,Velvex Premium Facial Tissues - 80 Sheets Silver,4
