Date,Product Name,Quantity
2023-08-01,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2023-11-25,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2023-12-28,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2023-12-29,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-01-15,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-01-16,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-01-29,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-01-31,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-02-08,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,2
2024-02-09,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-02-12,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-02-21,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-03-10,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-03-11,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-03-17,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-05-19,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-05-30,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-06-02,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-06-15,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
2024-06-23,Nivea Moisturizing Sun Kids Lotion SPF 50 - 200ml,1
