Date,Product Name,Quantity
2019-12-08,Delia's Raspberry Sorbet (Seasonal),1
2019-12-09,Delia's Raspberry Sorbet (Seasonal),1
2020-09-04,Delia's Raspberry Mousse (Seasonal),1
2020-09-15,Delia's Raspberry Mousse (Seasonal),1
2020-09-17,Delia's Raspberry Mousse (Seasonal),2
2020-09-21,Delia's Raspberry Mousse (Seasonal),1
2020-09-22,Delia's Raspberry Mousse (Seasonal),1
2020-09-23,Delia's Raspberry Mousse (Seasonal),1
2020-09-24,Delia's Raspberry Mousse (Seasonal),1
2020-09-30,Delia's Raspberry Mousse (Seasonal),2
2020-10-01,Delia's Raspberry Mousse (Seasonal),2
2020-10-05,Delia's Raspberry Mousse (Seasonal),1
2020-10-06,Delia's Raspberry Mousse (Seasonal),1
2020-10-16,Delia's Raspberry Mousse (Seasonal),2
2020-10-17,Delia's Raspberry Mousse (Seasonal),1
2020-10-30,Delia's Raspberry Mousse (Seasonal),1
2020-11-11,Delia's Raspberry Mousse (Seasonal),2
2020-11-16,Delia's Raspberry Mousse (Seasonal),2
2020-11-20,Delia's Raspberry Mousse (Seasonal),3
2020-11-26,Delia's Raspberry Mousse (Seasonal),1
2020-12-01,Delia's Raspberry Mousse (Seasonal),3
2020-12-09,Delia's Raspberry Mousse (Seasonal),2
2020-12-14,Delia's Raspberry Mousse (Seasonal),3
2020-12-16,Delia's Raspberry Mousse (Seasonal),1
2020-12-20,Delia's Raspberry Mousse (Seasonal),1
2020-12-28,Delia's Raspberry Mousse (Seasonal),4
2021-01-03,Delia's Raspberry Mousse (Seasonal),2
2021-01-14,Delia's Raspberry Mousse (Seasonal),2
2021-01-15,Delia's Raspberry Mousse (Seasonal),2
2021-01-21,Delia's Raspberry Mousse (Seasonal),1
2021-01-28,Delia's Raspberry Mousse (Seasonal),6
2021-01-29,Delia's Raspberry Mousse (Seasonal),1
2021-02-04,Delia's Raspberry Mousse (Seasonal),1
2021-02-10,Delia's Raspberry Mousse (Seasonal),1
2021-02-16,Delia's Raspberry Sorbet (Seasonal),2
2021-02-18,Delia's Raspberry Sorbet (Seasonal),2
2021-03-02,Delia's Raspberry Sorbet (Seasonal),2
2021-03-03,Delia's Raspberry Sorbet (Seasonal),1
2021-03-05,Delia's Raspberry Sorbet (Seasonal),2
2021-03-08,Delia's Raspberry Sorbet (Seasonal),1
2021-03-11,Delia's Raspberry Sorbet (Seasonal),1
2021-03-12,Delia's Raspberry Sorbet (Seasonal),1
2021-03-17,Delia's Raspberry Sorbet (Seasonal),1
2021-03-26,Delia's Raspberry Sorbet (Seasonal),3
2021-04-05,Delia's Raspberry Sorbet (Seasonal),2
2021-04-06,Delia's Raspberry Sorbet (Seasonal),1
2021-04-13,Delia's Raspberry Sorbet (Seasonal),1
2021-04-19,Delia's Raspberry Sorbet (Seasonal),1
2021-04-30,Delia's Raspberry Sorbet (Seasonal),3
2021-05-03,Delia's Raspberry Sorbet (Seasonal),2
2021-05-10,Delia's Raspberry Sorbet (Seasonal),3
2021-05-21,Delia's Raspberry Sorbet (Seasonal),2
2021-05-22,Delia's Raspberry Sorbet (Seasonal),2
2021-05-28,Delia's Raspberry Sorbet (Seasonal),2
2021-05-31,Delia's Raspberry Sorbet (Seasonal),1
2021-06-04,Delia's Raspberry Sorbet (Seasonal),1
2021-06-24,Delia's Raspberry Sorbet (Seasonal),2
2021-07-08,Delia's Raspberry Sorbet (Seasonal),1
2021-07-11,Delia's Raspberry Sorbet (Seasonal),1
2021-07-16,Delia's Raspberry Sorbet (Seasonal),1
2021-08-20,Delia's Raspberry Sorbet (Seasonal),1
2021-08-24,Delia's Raspberry Sorbet (Seasonal),1
2021-08-27,Delia's Raspberry Sorbet (Seasonal),1
2021-08-28,Delia's Raspberry Sorbet (Seasonal),1
2021-09-01,Delia's Raspberry Sorbet (Seasonal),1
2021-09-17,Delia's Raspberry Sorbet (Seasonal),1
2021-09-25,Delia's Raspberry Sorbet (Seasonal),4
2021-09-30,Delia's Raspberry Sorbet (Seasonal),1
2021-10-03,Delia's Raspberry Sorbet (Seasonal),1
2021-10-05,Delia's Raspberry Sorbet (Seasonal),1
2021-10-11,Delia's Raspberry Sorbet (Seasonal),1
2021-11-04,Delia's Raspberry Sorbet (Seasonal),1
2021-11-08,Delia's Raspberry Sorbet (Seasonal),1
2021-11-12,Delia's Raspberry Sorbet (Seasonal),1
2021-11-17,Delia's Raspberry Sorbet (Seasonal),1
2021-11-19,Delia's Raspberry Sorbet (Seasonal),1
2021-11-24,Delia's Raspberry Sorbet (Seasonal),1
2021-11-26,Delia's Raspberry Sorbet (Seasonal),2
2021-12-05,Delia's Raspberry Sorbet (Seasonal),1
2021-12-06,Delia's Raspberry Sorbet (Seasonal),1
2021-12-10,Delia's Raspberry Sorbet (Seasonal),1
2021-12-11,Delia's Raspberry Sorbet (Seasonal),1
2021-12-17,Delia's Raspberry Sorbet (Seasonal),1
2021-12-18,Delia's Raspberry Sorbet (Seasonal),1
2021-12-20,Delia's Raspberry Sorbet (Seasonal),1
2021-12-21,Delia's Raspberry Sorbet (Seasonal),3
2021-12-23,Delia's Raspberry Sorbet (Seasonal),1
2022-01-08,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-01-08,Delia's Raspberry Sorbet (Seasonal),1
2022-01-10,Delia's Raspberry Sorbet (Seasonal) – 500ml,2
2022-01-10,Delia's Raspberry Sorbet (Seasonal),2
2022-01-21,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-01-21,Delia's Raspberry Sorbet (Seasonal),1
2022-01-22,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-01-22,Delia's Raspberry Sorbet (Seasonal),1
2022-01-23,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-01-23,Delia's Raspberry Sorbet (Seasonal),1
2022-01-24,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-01-24,Delia's Raspberry Sorbet (Seasonal),1
2022-02-07,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-02-07,Delia's Raspberry Sorbet (Seasonal),1
2022-02-10,Delia's Raspberry Sorbet (Seasonal) – 500ml,2
2022-02-10,Delia's Raspberry Sorbet (Seasonal),2
2022-02-14,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-02-14,Delia's Raspberry Sorbet (Seasonal),1
2022-02-16,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-02-16,Delia's Raspberry Sorbet (Seasonal),1
2022-02-17,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-02-17,Delia's Raspberry Sorbet (Seasonal),1
2022-02-22,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-02-22,Delia's Raspberry Sorbet (Seasonal),1
2022-02-23,Delia's Raspberry Sorbet (Seasonal) – 500ml,2
2022-02-23,Delia's Raspberry Sorbet (Seasonal),2
2022-03-28,Delia's Raspberry Sorbet (Seasonal) – 500ml,3
2022-04-05,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-04-06,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-04-08,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-04-12,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
2022-04-16,Delia's Raspberry Sorbet (Seasonal) – 500ml,1
