Date,Product Name,Quantity
2018-12-14,Vergelegen Sauvignon Blanc,26
2018-12-15,Vergelegen Sauvignon Blanc,2
2018-12-19,Vergelegen Sauvignon Blanc,1
2018-12-20,Vergelegen Sauvignon Blanc,6
2018-12-27,Vergelegen Sauvignon Blanc,6
2018-12-31,Vergelegen Sauvignon Blanc,1
2019-01-04,Vergelegen Sauvignon Blanc,2
2019-01-08,Vergelegen Sauvignon Blanc,2
2019-01-18,Vergelegen Sauvignon Blanc,2
2019-01-23,Vergelegen Sauvignon Blanc,1
2019-01-24,Vergelegen Sauvignon Blanc,1
2019-01-29,Vergelegen Sauvignon Blanc,26
2019-01-30,Vergelegen Sauvignon Blanc,2
2019-02-01,Vergelegen Sauvignon Blanc,1
2019-02-02,Vergelegen Sauvignon Blanc,6
2019-02-23,Vergelegen Sauvignon Blanc,6
2019-03-03,Vergelegen Sauvignon Blanc,1
2019-03-04,Vergelegen Sauvignon Blanc,7
2019-03-12,Vergelegen Sauvignon Blanc,24
2019-03-19,Vergelegen Sauvignon Blanc,6
2019-03-20,Vergelegen Sauvignon Blanc,2
2019-03-21,Vergelegen Sauvignon Blanc,1
2019-04-10,Vergelegen Sauvignon Blanc,1
2019-04-12,Vergelegen Sauvignon Blanc,2
2019-05-03,Vergelegen Sauvignon Blanc,1
2019-05-14,Vergelegen Sauvignon Blanc,2
2019-05-16,Vergelegen Sauvignon Blanc,1
2019-05-18,Vergelegen Sauvignon Blanc,2
2019-06-19,Vergelegen Sauvignon Blanc,12
2019-06-27,Vergelegen Sauvignon Blanc,4
2019-07-07,Vergelegen Sauvignon Blanc,1
2019-07-25,Vergelegen Sauvignon Blanc,2
2019-07-31,Vergelegen Sauvignon Blanc,1
2019-08-21,Vergelegen Sauvignon Blanc,3
2019-08-22,Vergelegen Sauvignon Blanc,12
2019-08-26,Vergelegen Sauvignon Blanc,1
2019-08-30,Vergelegen Sauvignon Blanc,1
2019-09-05,Vergelegen Sauvignon Blanc,2
2019-09-09,Vergelegen Sauvignon Blanc,2
2019-09-12,Vergelegen Sauvignon Blanc,1
2019-09-15,Vergelegen Sauvignon Blanc,1
