Date,Product Name,Quantity
2023-04-20,Santa Maria Pasta Fusilli - 400g,4
2023-04-21,Santa Maria Pasta Fusilli - 400g,1
2023-04-22,Santa Maria Pasta Fusilli - 400g,1
2023-04-23,Santa Maria Pasta Fusilli - 400g,1
2023-04-24,Santa Maria Pasta Fusilli - 400g,5
2023-04-28,Santa Maria Pasta Fusilli - 400g,2
2023-04-30,Santa Maria Pasta Fusilli - 400g,1
2023-05-01,Santa Maria Pasta Fusilli - 400g,2
2023-05-03,Santa Maria Pasta Fusilli - 400g,1
2023-05-08,Santa Maria Pasta Fusilli - 400g,4
2023-05-09,Santa Maria Pasta Fusilli - 400g,1
2023-05-12,Santa Maria Pasta Fusilli - 400g,1
2023-05-13,Santa Maria Pasta Fusilli - 400g,1
2023-05-14,Santa Maria Pasta Fusilli - 400g,1
2023-05-15,Santa Maria Pasta Fusilli - 400g,2
2023-05-16,Santa Maria Pasta Fusilli - 400g,3
2023-05-17,Santa Maria Pasta Fusilli - 400g,1
2023-05-18,Santa Maria Pasta Fusilli - 400g,4
2023-05-19,Santa Maria Pasta Fusilli - 400g,1
2023-05-23,Santa Maria Pasta Fusilli - 400g,1
2023-05-25,Santa Maria Pasta Fusilli - 400g,1
2023-05-28,Santa Maria Pasta Fusilli - 400g,1
2023-05-29,Santa Maria Pasta Fusilli - 400g,1
2023-05-30,Santa Maria Pasta Fusilli - 400g,1
2023-06-02,Santa Maria Pasta Fusilli - 400g,2
2023-06-06,Santa Maria Pasta Fusilli - 400g,1
2023-06-08,Santa Maria Pasta Fusilli - 400g,2
2023-06-09,Santa Maria Pasta Fusilli - 400g,3
2023-06-10,Santa Maria Pasta Fusilli - 400g,1
2023-06-11,Santa Maria Pasta Fusilli - 400g,2
2023-06-12,Santa Maria Pasta Fusilli - 400g,2
2023-06-13,Santa Maria Pasta Fusilli - 400g,3
2023-06-15,Santa Maria Pasta Fusilli - 400g,1
2023-06-16,Santa Maria Pasta Fusilli - 400g,2
2023-06-17,Santa Maria Pasta Fusilli - 400g,1
2023-06-19,Santa Maria Pasta Fusilli - 400g,4
2023-06-20,Santa Maria Pasta Fusilli - 400g,5
2023-06-21,Santa Maria Pasta Fusilli - 400g,1
2023-06-27,Santa Maria Pasta Fusilli - 400g,6
2023-06-28,Santa Maria Pasta Fusilli - 400g,1
2023-06-29,Santa Maria Pasta Fusilli - 400g,2
2023-06-30,Santa Maria Pasta Fusilli - 400g,2
2023-07-01,Santa Maria Pasta Fusilli - 400g,1
2023-07-03,Santa Maria Pasta Fusilli - 400g,3
2023-07-05,Santa Maria Pasta Fusilli - 400g,3
2023-07-06,Santa Maria Pasta Fusilli - 400g,3
2023-07-07,Santa Maria Pasta Fusilli - 400g,1
2023-07-18,Santa Maria Pasta Fusilli - 400g,2
2023-07-19,Santa Maria Pasta Fusilli - 400g,1
2023-07-20,Santa Maria Pasta Fusilli - 400g,3
2023-07-24,Santa Maria Pasta Fusilli - 400g,1
2023-07-25,Santa Maria Pasta Fusilli - 400g,2
2023-07-26,Santa Maria Pasta Fusilli - 400g,2
2023-07-27,Santa Maria Pasta Fusilli - 400g,2
2023-07-31,Santa Maria Pasta Fusilli - 400g,2
2023-08-01,Santa Maria Pasta Fusilli - 400g,1
2023-08-02,Santa Maria Pasta Fusilli - 400g,2
2023-08-07,Santa Maria Pasta Fusilli - 400g,1
2023-08-08,Santa Maria Pasta Fusilli - 400g,1
2023-08-09,Santa Maria Pasta Fusilli - 400g,3
2023-08-10,Santa Maria Pasta Fusilli - 400g,2
2023-08-11,Santa Maria Pasta Fusilli - 400g,5
2023-08-12,Santa Maria Pasta Fusilli - 400g,1
2023-08-14,Santa Maria Pasta Fusilli - 400g,5
2023-08-17,Santa Maria Pasta Fusilli - 400g,2
2023-08-18,Santa Maria Pasta Fusilli - 400g,3
2023-08-20,Santa Maria Pasta Fusilli - 400g,2
2023-08-21,Santa Maria Pasta Fusilli - 400g,1
2023-08-22,Santa Maria Pasta Fusilli - 400g,4
2023-09-02,Santa Maria Pasta Fusilli - 400g,1
2023-09-03,Santa Maria Pasta Fusilli - 400g,2
2023-09-04,Santa Maria Pasta Fusilli - 400g,3
2023-09-05,Santa Maria Pasta Fusilli - 400g,3
2023-09-07,Santa Maria Pasta Fusilli - 400g,1
2023-09-08,Santa Maria Pasta Fusilli - 400g,4
2023-09-09,Santa Maria Pasta Fusilli - 400g,1
2023-09-11,Santa Maria Pasta Fusilli - 400g,1
2023-09-12,Santa Maria Pasta Fusilli - 400g,2
2023-09-13,Santa Maria Pasta Fusilli - 400g,2
2023-09-14,Santa Maria Pasta Fusilli - 400g,3
2023-09-15,Santa Maria Pasta Fusilli - 400g,1
2023-09-18,Santa Maria Pasta Fusilli - 400g,2
2023-09-19,Santa Maria Pasta Fusilli - 400g,1
2023-09-21,Santa Maria Pasta Fusilli - 400g,1
2023-09-23,Santa Maria Pasta Fusilli - 400g,1
2023-09-29,Santa Maria Pasta Fusilli - 400g,1
2023-09-30,Santa Maria Pasta Fusilli - 400g,1
2023-10-01,Santa Maria Pasta Fusilli - 400g,1
2023-10-02,Santa Maria Pasta Fusilli - 400g,3
2023-10-04,Santa Maria Pasta Fusilli - 400g,6
2023-10-05,Santa Maria Pasta Fusilli - 400g,3
2023-10-06,Santa Maria Pasta Fusilli - 400g,1
2023-10-09,Santa Maria Pasta Fusilli - 400g,3
2023-10-11,Santa Maria Pasta Fusilli - 400g,1
2023-10-12,Santa Maria Pasta Fusilli - 400g,5
2023-10-13,Santa Maria Pasta Fusilli - 400g,5
2023-10-15,Santa Maria Pasta Fusilli - 400g,1
2023-10-16,Santa Maria Pasta Fusilli - 400g,5
2023-10-21,Santa Maria Pasta Fusilli - 400g,1
2023-10-23,Santa Maria Pasta Fusilli - 400g,2
2023-10-25,Santa Maria Pasta Fusilli - 400g,2
2023-10-27,Santa Maria Pasta Fusilli - 400g,2
2023-10-29,Santa Maria Pasta Fusilli - 400g,1
2023-10-30,Santa Maria Pasta Fusilli - 400g,3
2023-10-31,Santa Maria Pasta Fusilli - 400g,1
2023-11-01,Santa Maria Pasta Fusilli - 400g,2
2023-11-03,Santa Maria Pasta Fusilli - 400g,1
2023-11-04,Santa Maria Pasta Fusilli - 400g,4
2023-11-06,Santa Maria Pasta Fusilli - 400g,6
2023-11-07,Santa Maria Pasta Fusilli - 400g,1
2023-11-08,Santa Maria Pasta Fusilli - 400g,3
2023-11-09,Santa Maria Pasta Fusilli - 400g,1
2023-11-12,Santa Maria Pasta Fusilli - 400g,1
2023-11-13,Santa Maria Pasta Fusilli - 400g,1
2023-11-14,Santa Maria Pasta Fusilli - 400g,1
2023-11-15,Santa Maria Pasta Fusilli - 400g,1
2023-11-16,Santa Maria Pasta Fusilli - 400g,3
2023-11-17,Santa Maria Pasta Fusilli - 400g,3
2023-11-18,Santa Maria Pasta Fusilli - 400g,2
2023-11-19,Santa Maria Pasta Fusilli - 400g,1
2023-11-20,Santa Maria Pasta Fusilli - 400g,10
2023-11-21,Santa Maria Pasta Fusilli - 400g,5
2023-11-22,Santa Maria Pasta Fusilli - 400g,1
2023-11-23,Santa Maria Pasta Fusilli - 400g,5
2023-11-24,Santa Maria Pasta Fusilli - 400g,1
2023-11-26,Santa Maria Pasta Fusilli - 400g,1
2023-11-27,Santa Maria Pasta Fusilli - 400g,5
2023-11-28,Santa Maria Pasta Fusilli - 400g,5
2023-12-01,Santa Maria Pasta Fusilli - 400g,5
2023-12-02,Santa Maria Pasta Fusilli - 400g,2
2023-12-03,Santa Maria Pasta Fusilli - 400g,1
2023-12-04,Santa Maria Pasta Fusilli - 400g,4
2023-12-05,Santa Maria Pasta Fusilli - 400g,3
2023-12-07,Santa Maria Pasta Fusilli - 400g,8
2023-12-08,Santa Maria Pasta Fusilli - 400g,3
2023-12-09,Santa Maria Pasta Fusilli - 400g,3
2023-12-10,Santa Maria Pasta Fusilli - 400g,4
2023-12-11,Santa Maria Pasta Fusilli - 400g,2
2023-12-12,Santa Maria Pasta Fusilli - 400g,2
2023-12-13,Santa Maria Pasta Fusilli - 400g,2
2023-12-14,Santa Maria Pasta Fusilli - 400g,4
2023-12-15,Santa Maria Pasta Fusilli - 400g,2
2023-12-19,Santa Maria Pasta Fusilli - 400g,2
2023-12-22,Santa Maria Pasta Fusilli - 400g,1
2023-12-23,Santa Maria Pasta Fusilli - 400g,2
2023-12-24,Santa Maria Pasta Fusilli - 400g,1
2023-12-27,Santa Maria Pasta Fusilli - 400g,1
2023-12-31,Santa Maria Pasta Fusilli - 400g,5
2024-01-01,Santa Maria Pasta Fusilli - 400g,1
2024-01-02,Santa Maria Pasta Fusilli - 400g,10
2024-01-03,Santa Maria Pasta Fusilli - 400g,2
2024-01-04,Santa Maria Pasta Fusilli - 400g,6
2024-01-05,Santa Maria Pasta Fusilli - 400g,2
2024-01-06,Santa Maria Pasta Fusilli - 400g,5
2024-01-10,Santa Maria Pasta Fusilli - 400g,2
2024-01-11,Santa Maria Pasta Fusilli - 400g,2
2024-01-12,Santa Maria Pasta Fusilli - 400g,2
2024-01-13,Santa Maria Pasta Fusilli - 400g,1
2024-01-14,Santa Maria Pasta Fusilli - 400g,1
2024-01-15,Santa Maria Pasta Fusilli - 400g,3
2024-01-16,Santa Maria Pasta Fusilli - 400g,4
2024-01-17,Santa Maria Pasta Fusilli - 400g,4
2024-01-19,Santa Maria Pasta Fusilli - 400g,1
2024-01-20,Santa Maria Pasta Fusilli - 400g,2
2024-01-21,Santa Maria Pasta Fusilli - 400g,4
2024-01-22,Santa Maria Pasta Fusilli - 400g,3
2024-01-23,Santa Maria Pasta Fusilli - 400g,4
2024-01-24,Santa Maria Pasta Fusilli - 400g,2
