Date,Product Name,Quantity
2019-04-28,Clear Water Cove Rosé 2019,1
2019-05-01,Clear Water Cove Rosé 2019,3
2019-05-06,Clear Water Cove Rosé 2019,2
2019-05-07,Clear Water Cove Rosé 2019,1
2019-05-08,Clear Water Cove Rosé 2019,5
2019-05-09,Clear Water Cove Rosé 2019,2
2019-05-10,Clear Water Cove Rosé 2019,1
2019-05-21,Clear Water Cove Rosé 2019,3
2019-05-23,Clear Water Cove Rosé 2019,1
2019-05-24,Clear Water Cove Rosé 2019,1
2019-05-31,Clear Water Cove Rosé 2019,2
2019-06-03,Clear Water Cove Rosé 2019,4
2019-06-05,Clear Water Cove Rosé 2019,2
2019-06-07,Clear Water Cove Rosé 2019,2
2019-06-08,Clear Water Cove Rosé 2019,1
2019-06-10,Clear Water Cove Rosé 2019,5
2019-06-17,Clear Water Cove Rosé 2019,2
2019-06-19,Clear Water Cove Rosé 2019,13
2019-06-25,Clear Water Cove Rosé 2019,13
2019-06-26,Clear Water Cove Rosé 2019,1
2019-06-29,Clear Water Cove Rosé 2019,1
2019-07-03,Clear Water Cove Rosé 2019,2
2019-07-10,Clear Water Cove Rosé 2019,7
2019-07-11,Clear Water Cove Rosé 2019,1
2019-07-19,Clear Water Cove Rosé 2019,1
2019-07-24,Clear Water Cove Rosé 2019,2
2019-08-05,Clear Water Cove Rosé 2019,4
2019-08-06,Clear Water Cove Rosé 2019,1
2019-08-07,Clear Water Cove Rosé 2019,2
2019-08-09,Clear Water Cove Rosé 2019,1
2019-08-11,Clear Water Cove Rosé 2019,1
2019-08-15,Clear Water Cove Rosé 2019,1
2019-08-22,Clear Water Cove Rosé 2019,12
2019-08-28,Clear Water Cove Rosé 2019,1
2019-09-04,Clear Water Cove Rosé 2019,7
2019-09-06,Clear Water Cove Rosé 2019,1
2019-09-09,Clear Water Cove Rosé 2019,9
2019-09-12,Clear Water Cove Rosé 2019,4
2019-09-18,Clear Water Cove Rosé 2019,12
2019-09-19,Clear Water Cove Rosé 2019,2
2019-09-20,Clear Water Cove Rosé 2019,1
2019-09-22,Clear Water Cove Rosé 2019,1
2019-09-23,Clear Water Cove Rosé 2019,1
2019-09-27,Clear Water Cove Rosé 2019,6
2019-09-30,Clear Water Cove Rosé 2019,1
2019-10-04,Clear Water Cove Rosé 2019,1
2019-10-10,Clear Water Cove Rosé 2019,2
2019-10-13,Clear Water Cove Rosé 2019,2
2019-10-29,Clear Water Cove Rosé 2019,6
2019-10-30,Clear Water Cove Rosé 2019,1
2019-10-31,Clear Water Cove Rosé 2019,2
2019-11-05,Clear Water Cove Rosé 2019,2
2019-11-06,Clear Water Cove Rosé 2019,1
2019-11-15,Clear Water Cove Rosé 2019,6
2019-11-18,Clear Water Cove Rosé 2019,1
2019-11-22,Clear Water Cove Rosé 2019,2
2019-11-27,Clear Water Cove Rosé 2019,2
2019-11-29,Clear Water Cove Rosé 2019,1
2019-12-02,Clear Water Cove Rosé 2019,14
2019-12-09,Clear Water Cove Rosé 2019,2
2019-12-12,Clear Water Cove Rosé 2019,1
2019-12-13,Clear Water Cove Rosé 2019,1
2019-12-15,Clear Water Cove Rosé 2019,8
2019-12-16,Clear Water Cove Rosé 2019,7
2019-12-17,Clear Water Cove Rosé 2019,1
2019-12-18,Clear Water Cove Rosé 2019,5
2019-12-19,Clear Water Cove Rosé 2019,6
2020-03-12,Clear Water Cove Rosé 2018,2
2020-03-16,Clear Water Cove Rosé 2018,11
2020-03-18,Clear Water Cove Rosé 2018,2
2020-03-19,Clear Water Cove Rosé 2018,1
2020-03-20,Clear Water Cove Rosé 2018,1
2020-03-23,Clear Water Cove Rosé 2018,8
2020-03-25,Clear Water Cove Rosé 2018,4
2020-03-26,Clear Water Cove Rosé 2018,5
2020-04-01,Clear Water Cove Rosé 2018,6
2020-04-02,Clear Water Cove Rosé 2018,8
2020-04-09,Clear Water Cove Rosé 2018,4
2020-04-14,Clear Water Cove Rosé 2018,3
2020-04-16,Clear Water Cove Rosé 2018,11
2020-04-18,Clear Water Cove Rosé 2018,2
2020-04-20,Clear Water Cove Rosé 2018,14
2020-04-21,Clear Water Cove Rosé 2018,1
2020-04-22,Clear Water Cove Rosé 2018,5
2020-04-23,Clear Water Cove Rosé 2018,3
2020-04-24,Clear Water Cove Rosé 2018,3
2020-04-25,Clear Water Cove Rosé 2018,10
2020-04-27,Clear Water Cove Rosé 2018,7
2020-04-28,Clear Water Cove Rosé 2018,2
2020-04-30,Clear Water Cove Rosé 2018,1
2020-05-04,Clear Water Cove Rosé 2018,2
