Date,Product Name,Quantity
2019-04-26,Clear Water Cove Sauvignon Blanc 2019,1
2019-04-28,Clear Water Cove Sauvignon Blanc 2019,1
2019-04-30,Clear Water Cove Sauvignon Blanc 2019,3
2019-05-01,Clear Water Cove Sauvignon Blanc 2019,4
2019-05-02,Clear Water Cove Sauvignon Blanc 2019,5
2019-05-03,Clear Water Cove Sauvignon Blanc 2019,1
2019-05-05,Clear Water Cove Sauvignon Blanc 2019,1
2019-05-06,Clear Water Cove Sauvignon Blanc 2019,4
2019-05-07,Clear Water Cove Sauvignon Blanc 2019,14
2019-05-08,Clear Water Cove Sauvignon Blanc 2019,2
2019-05-09,Clear Water Cove Sauvignon Blanc 2019,1
2019-05-10,Clear Water Cove Sauvignon Blanc 2019,2
2019-05-11,Clear Water Cove Sauvignon Blanc 2019,3
2019-05-13,Clear Water Cove Sauvignon Blanc 2019,6
2019-05-14,Clear Water Cove Sauvignon Blanc 2019,2
2019-05-16,Clear Water Cove Sauvignon Blanc 2019,1
2019-05-17,Clear Water Cove Sauvignon Blanc 2019,6
2019-05-19,Clear Water Cove Sauvignon Blanc 2019,1
2019-05-20,Clear Water Cove Sauvignon Blanc 2019,2
2019-05-21,Clear Water Cove Sauvignon Blanc 2019,2
2019-05-23,Clear Water Cove Sauvignon Blanc 2019,1
2019-05-24,Clear Water Cove Sauvignon Blanc 2019,2
2019-05-25,Clear Water Cove Sauvignon Blanc 2019,2
2019-05-27,Clear Water Cove Sauvignon Blanc 2019,1
2019-05-28,Clear Water Cove Sauvignon Blanc 2019,3
2019-05-31,Clear Water Cove Sauvignon Blanc 2019,2
2019-06-03,Clear Water Cove Sauvignon Blanc 2019,1
2019-06-04,Clear Water Cove Sauvignon Blanc 2019,2
2019-06-05,Clear Water Cove Sauvignon Blanc 2019,3
2019-06-07,Clear Water Cove Sauvignon Blanc 2019,6
2019-06-10,Clear Water Cove Sauvignon Blanc 2019,1
2019-06-12,Clear Water Cove Sauvignon Blanc 2019,2
2019-06-13,Clear Water Cove Sauvignon Blanc 2019,1
2019-06-14,Clear Water Cove Sauvignon Blanc 2019,7
2019-06-17,Clear Water Cove Sauvignon Blanc 2019,2
2019-06-19,Clear Water Cove Sauvignon Blanc 2019,6
2019-06-21,Clear Water Cove Sauvignon Blanc 2019,2
2019-06-23,Clear Water Cove Sauvignon Blanc 2019,1
2019-06-24,Clear Water Cove Sauvignon Blanc 2019,3
2019-06-26,Clear Water Cove Sauvignon Blanc 2019,1
2019-06-27,Clear Water Cove Sauvignon Blanc 2019,4
2019-06-28,Clear Water Cove Sauvignon Blanc 2019,3
2019-07-01,Clear Water Cove Sauvignon Blanc 2019,2
2019-07-03,Clear Water Cove Sauvignon Blanc 2019,8
2019-07-04,Clear Water Cove Sauvignon Blanc 2019,2
2019-07-10,Clear Water Cove Sauvignon Blanc 2019,9
2019-07-12,Clear Water Cove Sauvignon Blanc 2019,5
2019-07-14,Clear Water Cove Sauvignon Blanc 2019,9
2019-07-15,Clear Water Cove Sauvignon Blanc 2019,3
2019-07-17,Clear Water Cove Sauvignon Blanc 2019,2
2019-07-18,Clear Water Cove Sauvignon Blanc 2019,17
2019-07-19,Clear Water Cove Sauvignon Blanc 2019,1
2019-07-20,Clear Water Cove Sauvignon Blanc 2019,6
2019-07-22,Clear Water Cove Sauvignon Blanc 2019,3
2019-07-26,Clear Water Cove Sauvignon Blanc 2019,6
2019-07-29,Clear Water Cove Sauvignon Blanc 2019,1
2019-07-30,Clear Water Cove Sauvignon Blanc 2019,1
2019-08-01,Clear Water Cove Sauvignon Blanc 2019,4
