Date,Product Name,Quantity
2021-12-16,Ecoscapes Certified Organic Carrots - 1Kg,6
2021-12-17,Ecoscapes Certified Organic Carrots - 1Kg,3
2021-12-23,Ecoscapes Certified Organic Carrots - 1Kg,7
2021-12-24,Ecoscapes Certified Organic Carrots - 1Kg,4
2021-12-29,Ecoscapes Certified Organic Carrots - 1Kg,3
2021-12-30,Ecoscapes Certified Organic Carrots - 1Kg,2
2021-12-31,Ecoscapes Certified Organic Carrots - 1Kg,3
2022-01-06,Ecoscapes Certified Organic Carrots - 1Kg,7
2022-01-07,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-01-10,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-01-13,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-01-14,Ecoscapes Certified Organic Carrots - 1Kg,10
2022-01-15,Ecoscapes Certified Organic Carrots - 1Kg,9
2022-01-20,Ecoscapes Certified Organic Carrots - 1Kg,8
2022-01-21,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-01-27,Ecoscapes Certified Organic Carrots - 1Kg,10
2022-02-02,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-02-03,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-02-04,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-02-10,Ecoscapes Certified Organic Carrots - 1Kg,6
2022-02-11,Ecoscapes Certified Organic Carrots - 1Kg,14
2022-02-17,Ecoscapes Certified Organic Carrots - 1Kg,8
2022-02-18,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-02-23,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-02-24,Ecoscapes Certified Organic Carrots - 1Kg,8
2022-03-02,Ecoscapes Certified Organic Carrots - 1Kg,9
2022-03-03,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-03-09,Ecoscapes Certified Organic Carrots - 1Kg,5
2022-03-10,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-03-11,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-03-16,Ecoscapes Certified Organic Carrots - 1Kg,5
2022-03-17,Ecoscapes Certified Organic Carrots - 1Kg,5
2022-03-18,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-03-19,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-03-23,Ecoscapes Certified Organic Carrots - 1Kg,5
2022-03-24,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-03-25,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-03-30,Ecoscapes Certified Organic Carrots - 1Kg,5
2022-03-31,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-04-01,Ecoscapes Certified Organic Carrots - 1Kg,3
2022-04-02,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-04-05,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-04-07,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-04-08,Ecoscapes Certified Organic Carrots - 1Kg,6
2022-04-13,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-04-14,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-04-16,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-04-18,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-04-19,Ecoscapes Certified Organic Carrots - 1Kg,10
2022-04-20,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-04-21,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-04-29,Ecoscapes Certified Organic Carrots - 1Kg,4
2022-04-30,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-05-01,Ecoscapes Certified Organic Carrots - 1Kg,3
2022-05-04,Ecoscapes Certified Organic Carrots - 1Kg,8
2022-05-05,Ecoscapes Certified Organic Carrots - 1Kg,3
2022-05-12,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-05-13,Ecoscapes Certified Organic Carrots - 1Kg,7
2022-05-18,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-05-19,Ecoscapes Certified Organic Carrots - 1Kg,5
2022-05-20,Ecoscapes Certified Organic Carrots - 1Kg,6
2022-05-26,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-05-27,Ecoscapes Certified Organic Carrots - 1Kg,5
2022-05-28,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-05-29,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-05-30,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-06-03,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-06-06,Ecoscapes Certified Organic Carrots - 1Kg,11
2022-06-07,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-06-08,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-06-09,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-06-13,Ecoscapes Certified Organic Carrots - 1Kg,9
2022-06-14,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-06-15,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-06-16,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-06-18,Ecoscapes Certified Organic Carrots - 1Kg,2
2022-06-19,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-06-20,Ecoscapes Certified Organic Carrots - 1Kg,7
2022-06-22,Ecoscapes Certified Organic Carrots - 1Kg,1
2022-06-23,Ecoscapes Certified Organic Carrots - 1Kg,1
