Date,Product Name,Quantity
2021-12-23,Ecoscapes Certified Organic Red Cabbage Head,3
2021-12-24,Ecoscapes Certified Organic Red Cabbage Head,2
2021-12-28,Ecoscapes Certified Organic Red Cabbage Head,1
2021-12-31,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-03,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-04,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-06,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-07,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-13,Ecoscapes Certified Organic Red Cabbage Head,4
2022-01-14,Ecoscapes Certified Organic Red Cabbage Head,5
2022-01-15,Ecoscapes Certified Organic Red Cabbage Head,3
2022-01-16,Ecoscapes Certified Organic Red Cabbage Head,3
2022-01-17,Ecoscapes Certified Organic Red Cabbage Head,3
2022-01-21,Ecoscapes Certified Organic Red Cabbage Head,6
2022-01-22,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-24,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-28,Ecoscapes Certified Organic Red Cabbage Head,6
2022-01-29,Ecoscapes Certified Organic Red Cabbage Head,2
2022-01-31,Ecoscapes Certified Organic Red Cabbage Head,2
2022-02-02,Ecoscapes Certified Organic Red Cabbage Head,2
2022-02-03,Ecoscapes Certified Organic Red Cabbage Head,6
2022-02-09,Ecoscapes Certified Organic Red Cabbage Head,2
2022-02-10,Ecoscapes Certified Organic Red Cabbage Head,4
2022-02-11,Ecoscapes Certified Organic Red Cabbage Head,2
2022-02-12,Ecoscapes Certified Organic Red Cabbage Head,2
2022-02-17,Ecoscapes Certified Organic Red Cabbage Head,2
2022-02-18,Ecoscapes Certified Organic Red Cabbage Head,4
2022-02-19,Ecoscapes Certified Organic Red Cabbage Head,4
2022-02-25,Ecoscapes Certified Organic Red Cabbage Head,2
2022-02-26,Ecoscapes Certified Organic Red Cabbage Head,4
2022-02-28,Ecoscapes Certified Organic Red Cabbage Head,4
2022-03-02,Ecoscapes Certified Organic Red Cabbage Head,2
2022-03-03,Ecoscapes Certified Organic Red Cabbage Head,2
2022-03-04,Ecoscapes Certified Organic Red Cabbage Head,1
2022-03-06,Ecoscapes Certified Organic Red Cabbage Head,1
2022-03-10,Ecoscapes Certified Organic Red Cabbage Head,1
2022-03-11,Ecoscapes Certified Organic Red Cabbage Head,1
2022-03-12,Ecoscapes Certified Organic Red Cabbage Head,2
2022-03-13,Ecoscapes Certified Organic Red Cabbage Head,1
2022-03-14,Ecoscapes Certified Organic Red Cabbage Head,1
2022-03-17,Ecoscapes Certified Organic Red Cabbage Head,2
2022-03-18,Ecoscapes Certified Organic Red Cabbage Head,4
2022-03-24,Ecoscapes Certified Organic Red Cabbage Head,4
2022-03-25,Ecoscapes Certified Organic Red Cabbage Head,2
2022-03-30,Ecoscapes Certified Organic Red Cabbage Head,4
2022-03-31,Ecoscapes Certified Organic Red Cabbage Head,1
